Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPV1E820MGD,EOL,25.0,82.00,6.3,11.0,-55,105,5000,0.59,0.14,62,285,,,,,,,0.51,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E101MGD,MP,25.0,100.00,8.0,11.5,-55,105,5000,1.19,0.14,75,370,,,,,,,0.41,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E121MGD,MP,25.0,120.00,8.0,11.5,-55,105,5000,1.19,0.14,90,405,,,,,,,0.34,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E151MGD,MP,25.0,150.00,8.0,11.5,-55,105,5000,1.19,0.14,113,460,,,,,,,0.27,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V220MFD,EOL,35.0,22.00,5.0,11.0,-55,105,5000,0.44,0.12,23,160,,,,,,,1.3,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V270MFD,EOL,35.0,27.00,5.0,11.0,-55,105,5000,0.44,0.12,28,180,,,,,,,1.0,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V330MGD,EOL,35.0,33.00,6.3,11.0,-55,105,5000,0.59,0.12,35,225,,,,,,,0.83,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V390MGD,EOL,35.0,39.00,6.3,11.0,-55,105,5000,0.59,0.12,41,245,,,,,,,0.7,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V470MGD,EOL,35.0,47.00,6.3,11.0,-55,105,5000,0.59,0.12,49,270,,,,,,,0.58,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V560MGD,EOL,35.0,56.00,6.3,11.0,-55,105,5000,0.59,0.12,59,295,,,,,,,0.48,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V680MGD,MP,35.0,68.00,8.0,11.5,-55,105,5000,1.19,0.12,71,370,,,,,,,0.41,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V820MGD,MP,35.0,82.00,8.0,11.5,-55,105,5000,1.19,0.12,86,415,,,,,,,0.32,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V101MGD,MP,35.0,100.00,8.0,11.5,-55,105,5000,1.19,0.12,105,460,,,,,,,0.27,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H1R5MFD,EOL,50.0,1.50,5.0,11.0,-55,105,5000,0.44,0.10,4,45,,,,,,,11.0,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H2R2MFD,EOL,50.0,2.20,5.0,11.0,-55,105,5000,0.44,0.10,4,54,,,,,,,7.0,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H3R3MFD,EOL,50.0,3.30,5.0,11.0,-55,105,5000,0.44,0.10,5,66,,,,,,,4.6,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H4R7MFD,EOL,50.0,4.70,5.0,11.0,-55,105,5000,0.44,0.10,7,81,,,,,,,3.1,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H6R8MFD,EOL,50.0,6.80,5.0,11.0,-55,105,5000,0.44,0.10,10,91,,,,,,,2.5,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H100MFD,EOL,50.0,10.00,5.0,11.0,-55,105,5000,0.44,0.10,15,115,,,,,,,2.0,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H120MFD,EOL,50.0,12.00,5.0,11.0,-55,105,5000,0.44,0.10,18,125,,,,,,,1.7,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H150MFD,EOL,50.0,15.00,5.0,11.0,-55,105,5000,0.44,0.10,23,145,,,,,,,1.3,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H180MFD,EOL,50.0,18.00,5.0,11.0,-55,105,5000,0.44,0.10,27,155,,,,,,,1.1,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H220MGD,EOL,50.0,22.00,6.3,11.0,-55,105,5000,0.59,0.10,33,195,,,,,,,0.91,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H270MGD,EOL,50.0,27.00,6.3,11.0,-55,105,5000,0.59,0.10,41,215,,,,,,,0.74,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H330MGD,EOL,50.0,33.00,6.3,11.0,-55,105,5000,0.59,0.10,50,240,,,,,,,0.6,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H390MGD,EOL,50.0,39.00,6.3,11.0,-55,105,5000,0.59,0.10,59,260,,,,,,,0.5,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H470MGD,MP,50.0,47.00,8.0,11.5,-55,105,5000,1.19,0.10,71,330,,,,,,,0.42,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H560MGD,MP,50.0,56.00,8.0,11.5,-55,105,5000,1.19,0.10,84,360,,,,,,,0.35,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1H680MGD,MP,50.0,68.00,8.0,11.5,-55,105,5000,1.19,0.10,102,410,,,,,,,0.28,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
