Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
20,15,0.063,6.3,7,-55,105,0.06,5.305,2000,50,4000,RNS1D150MDS1,Uni-Polar,Radial Lead,Standard,1700,MP,Normal,0.39
20,22,0.049,6.3,7,-55,105,0.06,3.617,2000,66,4000,RNS1D220MDS1,Uni-Polar,Radial Lead,Standard,1900,MP,Normal,0.39
20,33,0.049,6.3,10,-55,105,0.06,2.411,2000,99,3200,RNS1D330MDS1,Uni-Polar,Radial Lead,Standard,2200,MP,Normal,0.54
20,47,0.028,8,11.5,-55,105,0.06,1.693,2000,141,2000,RNS1D470MDN1,Uni-Polar,Radial Lead,Standard,3400,MP,Normal,0.93
20,68,0.025,8,11.5,-55,105,0.06,1.17,2000,204,2000,RNS1D680MDN1,Uni-Polar,Radial Lead,Standard,3600,MP,Normal,0.93
20,100,0.015,10,12.5,-55,105,0.06,0.796,2000,300,1600,RNS1D101MDN1,Uni-Polar,Radial Lead,Standard,4500,MP,Normal,1.35
25,10,0.063,6.3,7,-55,105,0.06,7.958,2000,50,4000,RNS1E100MDS1,Uni-Polar,Radial Lead,Standard,1700,MP,Normal,0.39
25,15,0.049,6.3,10,-55,105,0.06,5.305,2000,75,3200,RNS1E150MDS1,Uni-Polar,Radial Lead,Standard,2200,MP,Normal,0.54
25,22,0.028,8,11.5,-55,105,0.06,3.617,2000,110,2000,RNS1E220MDN1,Uni-Polar,Radial Lead,Standard,3400,MP,Normal,0.93
25,33,0.02,10,12.5,-55,105,0.06,2.411,2000,165,1600,RNS1E330MDN1,Uni-Polar,Radial Lead,Standard,3800,MP,Normal,1.35
25,47,0.02,10,12.5,-55,105,0.06,1.693,2000,235,1600,RNS1E470MDN1,Uni-Polar,Radial Lead,Standard,3800,MP,Normal,1.35
25,100,0.015,10,12.5,-55,105,0.08,1.061,2000,500,1600,RNS1E101MDN1,Uni-Polar,Radial Lead,Standard,4500,MP,Normal,1.35
