Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,ESR 25°C@100kHz,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@100kHz,Surge Voltage,Z 20°C@100kHz
16,1000,10,30,16,0.091,21.247,200,ESX108M016AH6(1),1400,20,0.091
16,1200,10,25,16,0.1,17.706,240,ESX128M016AH5(1),1240,20,0.1
16,1200,12,25,16,0.086,17.706,240,ESX128M016AJK(1),1450,20,0.086
16,1500,12,25,16,0.072,14.165,300,ESX158M016AJK(1),1650,20,0.072
16,2200,12,30,16,0.069,9.67,440,ESX228M016AJM(1),1820,20,0.069
16,2200,13,25,16,0.063,9.67,440,ESX228M016AL4(1),2000,20,0.063
16,3300,13,40,16,0.055,6.455,660,ESX338M016AL7(1),2400,20,0.055
16,4700,16,36,16,0.046,4.538,940,ESX478M016AM3(1),2650,20,0.046
16,6800,18,36,16,0.04,3.144,1360,ESX688M016AN2(1),2900,20,0.04
16,8200,18,40,16,0.036,2.614,1640,ESX828M016AN3(1),3050,20,0.036
25,22,5,11,14,3.3,844.004,7,ESX226M025AC3(1),66,32,3.3
25,33,5,11,14,1.3,562.669,10.6,ESX336M025AC3(1),33,32,1.3
25,47,5,11,14,1.1,395.066,15,ESX476M025AC3(1),141,32,1.1
25,68,8,11,14,0.57,273.06,21.8,ESX686M025AG3(1),204,32,0.57
25,100,6.3,11,14,0.53,185.681,32,ESX107M025AE3(1),240,32,0.53
25,100,8,11,14,0.42,185.681,32,ESX107M025AG3(1),300,32,0.42
25,120,8,11,14,0.38,154.734,38.4,ESX127M025AG3(1),400,32,0.38
25,150,10,12,14,0.33,123.787,48,ESX157M025AH1(1),460,32,0.33
25,220,10,15,14,0.23,84.4,70.4,ESX227M025AH2(1),630,32,0.23
25,330,10,12,14,0.22,56.267,105.6,ESX337M025AH1(1),690,32,0.22
25,330,10,15,14,0.19,56.267,105.6,ESX337M025AH2(1),800,32,0.19
25,470,10,15,14,0.165,39.507,150.4,ESX477M025AH2(1),590,32,0.165
25,470,10,20,14,0.14,39.507,150.4,ESX477M025AH4(1),1050,32,0.14
25,560,10,20,14,0.12,33.157,179.2,ESX567M025AH4(1),1170,32,0.12
25,560,12,16,14,0.12,33.157,179.2,ESX567M025AJD(1),1200,32,0.12
25,680,10,30,14,0.09,27.306,217.6,ESX687M025AH6(1),1400,32,0.09
25,820,12,25,14,0.085,22.644,262.4,ESX827M025AJK(1),1450,32,0.085
25,1000,12,20,14,0.091,18.595,320,ESX108M025AJH(1),1420,32,0.091
25,1000,12,25,14,0.078,18.595,320,ESX108M025AJK(1),1650,32,0.078
25,1200,12,30,14,0.07,15.496,384,ESX128M025AJM(1),1700,32,0.07
25,1500,12,30,14,0.062,12.396,480,ESX158M025AJM(1),1950,32,0.062
25,2200,12,40,14,0.054,8.464,704,ESX228M025AJS(1),2240,32,0.054
25,3300,16,36,14,0.045,5.651,1056,ESX338M025AM3(1),2700,32,0.045
25,3900,18,36,14,0.042,4.781,1248,ESX398M025AN2(1),2820,32,0.042
25,4700,18,40,14,0.036,3.973,1504,ESX478M025AN3(1),3000,32,0.036
35,6.8,4,7,12,7.7,2340.516,3,ESX685M035AB2(1),20,44,7.7
35,6.8,5,11,12,5.2,2340.516,3,ESX685M035AC3(1),31,44,5.2
35,10,5,11,12,3.1,1591.551,4.4,ESX106M035AC3(1),42,44,3.1
35,22,5,11,12,1.3,723.432,9.7,ESX226M035AC3(1),101,44,1.3
35,33,6.3,11,12,0.87,482.288,14.5,ESX336M035AE3(1),151,44,0.87
35,47,5,11,12,0.87,338.628,20.7,ESX476M035AC3(1),216,44,0.87
35,68,8,11,12,0.37,234.052,29.9,ESX686M035AG3(1),312,44,0.37
35,100,10,12,12,0.32,159.155,44,ESX107M035AH1(1),460,44,0.32
35,100,8,11,12,0.39,159.155,44,ESX107M035AG3(1),370,44,0.39
35,120,10,12,12,0.26,132.629,52.8,ESX127M035AH1(1),550,44,0.26
35,150,10,12,12,0.23,106.103,66,ESX157M035AH1(1),600,44,0.23
35,220,10,12,12,0.21,72.343,96.8,ESX227M035AH1(1),690,44,0.21
35,220,10,15,12,0.18,72.343,96.8,ESX227M035AH2(1),800,44,0.18
35,330,10,20,12,0.13,48.229,145.2,ESX337M035AH4(1),1060,44,0.13
35,470,10,30,12,0.089,33.863,206.8,ESX477M035AH6(1),990,44,0.089
35,470,13,25,12,0.086,33.863,206.8,ESX477M035AL4(1),1060,44,0.086
35,560,12.5,20,12,0.081,28.421,246.4,ESX567M035AK5(1),1500,44,0.081
35,680,12,25,12,0.07,23.405,299.2,ESX687M035AJK(1),1650,44,0.07
35,820,12,30,12,0.066,19.409,360.8,ESX827M035AJM(1),1750,44,0.066
35,1000,12,25,12,0.061,15.942,440,ESX108M035AJK(1),2000,44,0.061
35,1200,12,35,12,0.049,13.285,528,ESX128M035AJP(1),2200,44,0.049
35,1500,12,40,12,0.046,10.628,660,ESX158M035AJS(1),2350,44,0.046
35,2200,16,36,12,0.044,7.258,968,ESX228M035AM3(1),2700,44,0.044
35,3300,18,40,12,0.035,4.847,1452,ESX338M035AN3(1),3050,44,0.035
50,6.8,5,11,10,3.1,1950.43,4.3,ESX685M050AC3(1),39,63,3.1
50,10,5,11,10,2,1326.292,6.3,ESX106M050AC3(1),58,63,2
50,22,6.3,11,10,0.9,602.86,13.9,ESX226M050AE3(1),129,63,0.9
50,33,8,11,10,0.72,401.907,20.8,ESX336M050AG3(1),194,63,0.72
50,47,8,11,10,0.66,282.19,29.6,ESX476M050AG3(1),276,63,0.66
50,68,10,12,10,0.31,195.043,42.8,ESX686M050AH1(1),400,63,0.31
50,100,10,15,10,0.2,132.629,63,ESX107M050AH2(1),635,63,0.2
50,100,8,15,10,0.24,132.629,63,ESX107M050AG4(1),230,63,0.24
50,120,10,15,10,0.17,110.524,75.6,ESX127M050AH2(1),670,63,0.17
50,150,10,20,10,0.15,88.419,94.5,ESX157M050AH4(1),860,63,0.15
50,220,10,15,10,0.15,60.286,138.6,ESX227M050AH2(1),780,63,0.15
50,220,10,25,10,0.11,60.286,138.6,ESX227M050AH5(1),1030,63,0.11
50,330,10,30,10,0.11,40.191,207.9,ESX337M050AH6(1),1070,63,0.11
50,330,12,20,10,0.092,40.191,207.9,ESX337M050AJH(1),1220,63,0.092
50,330,13,25,10,0.086,40.191,207.9,ESX337M050AL4(1),1300,63,0.086
50,470,12,25,10,0.068,28.219,296.1,ESX477M050AJK(1),1500,63,0.068
50,680,12,35,10,0.058,19.504,428.4,ESX687M050AJP(1),1850,63,0.058
50,820,12,40,10,0.052,16.174,516.6,ESX827M050AJS(1),2020,63,0.052
50,1000,16,25,10,0.06,13.289,630,ESX108M050AM7(1),1800,63,0.06
50,1000,16,32,10,0.05,13.289,630,ESX108M050AM2(1),2120,63,0.05
50,1200,16,36,10,0.043,11.075,756,ESX128M050AM3(1),2260,63,0.043
50,1500,16,40,10,0.035,8.86,945,ESX158M050AM4(1),2420,63,0.035
63,4.7,5,11,9,4.6,2539.709,3.7,ESX475M063AC3(1),36,79,4.6
63,6.8,5,11,9,4.3,1755.387,5.4,ESX685M063AC3(1),52,79,4.3
63,10,5,11,9,2,1193.663,7.9,ESX106M063AC3(1),77,79,2
63,15,6.3,11,9,1.4,795.775,11.9,ESX156M063AE3(1),116,79,1.4
63,22,8,11,9,1.2,542.574,17.4,ESX226M063AG3(1),170,79,1.2
63,33,8,11,9,0.66,361.716,26.1,ESX336M063AG3(1),256,79,0.66
63,47,10,12,9,0.56,253.971,37.1,ESX476M063AH1(1),365,79,0.56
63,68,10,15,9,0.36,175.539,53.7,ESX686M063AH2(1),500,79,0.36
63,100,10,15,9,0.31,119.366,79,ESX107M063AH2(1),750,79,0.31
63,120,10,20,9,0.27,99.472,94.8,ESX127M063AH4(1),820,79,0.27
63,150,10,25,9,0.2,79.578,118.5,ESX157M063AH5(1),950,79,0.2
63,220,12,25,9,0.16,54.257,173.8,ESX227M063AJK(1),1150,79,0.16
63,330,12,30,9,0.14,36.172,260.7,ESX337M063AJM(1),1360,79,0.14
63,330,13,25,9,0.13,36.172,260.7,ESX337M063AL4(1),1420,79,0.13
63,470,12,35,9,0.091,25.397,371.3,ESX477M063AJP(1),1780,79,0.091
63,680,16,32,9,0.065,17.554,537.2,ESX687M063AM2(1),2050,79,0.065
63,820,16,36,9,0.056,14.557,647.8,ESX827M063AM3(1),2200,79,0.056
63,1000,18,36,9,0.049,11.963,790,ESX108M063AN2(1),2330,79,0.049
63,1200,18,40,9,0.046,9.969,948,ESX128M063AN3(1),2520,79,0.046
80,4.7,5,11,8,4.2,2257.519,4.7,ESX475M080AC3(1),43,100,4.2
80,6.8,5,11,8,1.9,1560.344,6.8,ESX685M080AC3(1),62,100,1.9
80,10,6.3,11,8,1.4,1061.034,10,ESX106M080AE3(1),92,100,1.4
80,15,8,11,8,1.1,707.356,15,ESX156M080AG3(1),138,100,1.1
80,22,8,11,8,0.64,482.288,22,ESX226M080AG3(1),203,100,0.64
80,33,10,12,8,0.54,321.525,33,ESX336M080AH1(1),305,100,0.54
80,47,10,15,8,0.36,225.752,47,ESX476M080AH2(1),410,100,0.36
80,68,10,20,8,0.26,156.034,68,ESX686M080AH4(1),600,100,0.26
80,100,10,25,8,0.19,106.103,100,ESX107M080AH5(1),795,100,0.19
80,120,10,30,8,0.17,88.419,120,ESX127M080AH6(1),900,100,0.17
80,150,10,30,8,0.15,70.736,150,ESX157M080AH6(1),955,100,0.15
80,220,12,30,8,0.13,48.229,220,ESX227M080AJM(1),1200,100,0.13
80,330,12,35,8,0.088,32.153,330,ESX337M080AJP(1),1450,100,0.088
80,470,16,32,8,0.063,22.575,470,ESX477M080AM2(1),1790,100,0.063
80,680,16,40,8,0.058,15.603,680,ESX687M080AM4(1),1990,100,0.058
80,820,18,36,8,0.05,12.939,820,ESX827M080AN2(1),2200,100,0.05
80,1000,18,40,8,0.044,10.637,1000,ESX108M080AN3(1),2370,100,0.044
100,4.7,5,11,8,4.1,2257.519,5.9,ESX475M100AC3(1),65,125,4.1
100,6.8,8,11,8,1.3,1560.344,8.5,ESX685M100AG3(1),94,125,1.3
100,10,8,11,8,1.1,1061.034,12.5,ESX106M100AG3(1),138,125,1.1
100,15,8,11,8,0.8,707.356,18.8,ESX156M100AG3(1),207,125,0.8
100,22,10,12,8,0.53,482.288,27.5,ESX226M100AH1(1),305,125,0.53
100,33,10,15,8,0.35,321.525,41.3,ESX336M100AH2(1),500,125,0.35
100,47,10,20,8,0.3,225.752,58.8,ESX476M100AH4(1),600,125,0.3
100,68,10,25,8,0.19,156.034,85,ESX686M100AH5(1),795,125,0.19
100,100,10,30,8,0.17,106.103,125,ESX107M100AH6(1),870,125,0.17
100,100,13,20,8,0.15,106.103,125,ESX107M100AL3(1),955,125,0.15
100,120,12,30,8,0.13,88.419,150,ESX127M100AJM(1),1040,125,0.13
100,150,12,30,8,0.11,70.736,187.5,ESX157M100AJM(1),1200,125,0.11
100,220,16,32,8,0.086,48.229,275,ESX227M100AM2(1),1440,125,0.086
100,330,16,32,8,0.07,32.153,412.5,ESX337M100AM2(1),1610,125,0.07
100,330,16,36,8,0.062,32.153,412.5,ESX337M100AM3(1),1790,125,0.062
100,470,16,40,8,0.048,22.575,587.5,ESX477M100AM4(1),2160,125,0.048
100,470,18,36,8,0.047,22.575,587.5,ESX477M100AN2(1),2200,125,0.047
