Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR -40°C@100kHz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 125°C@100kHz,Ripple Current 135°C@100kHz,Status,Vibration resistant,Weight (g)
25,8200,0.045,0.022,18,30.5,-40,135,0.28,0.16,3000,6150,300,UBY1E822MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5600,3470,MP,Normal,13.1
25,9100,0.044,0.019,16,40,-40,135,0.3,0.12,3000,6825,300,UBY1E912MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6810,3930,MP,Normal,14.1
25,10000,0.042,0.019,18,35.5,-40,135,0.32,0.12,3000,7500,250,UBY1E103MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6280,3750,MP,Normal,14.2
25,12000,0.04,0.018,18,40,-40,135,0.36,0.1,3000,9000,200,UBY1E123MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,7070,4080,MP,Normal,17.7
35,1300,0.122,0.042,12.5,20,-40,135,0.12,0.48,3000,1365,1000,UBY1V132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2760,1690,MP,Normal,3.43
35,1800,0.088,0.033,12.5,25,-40,135,0.12,0.3,3000,1890,800,UBY1V182MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3480,2010,MP,Normal,4.56
35,2200,0.084,0.028,12.5,30.5,-40,135,0.14,0.24,3000,2310,600,UBY1V222MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4490,2900,MP,Normal,6.01
35,2200,0.084,0.031,16,20,-40,135,0.14,0.27,3000,2310,600,UBY1V222MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3040,1860,MP,Normal,6.6
35,2700,0.069,0.025,12.5,35.5,-40,135,0.14,0.21,3000,2835,500,UBY1V272MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5140,3190,MP,Normal,7.06
35,2700,0.069,0.03,18,20,-40,135,0.14,0.22,3000,2835,400,UBY1V272MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3250,1870,MP,Normal,9.0
35,3000,0.071,0.026,16,25,-40,135,0.16,0.22,3000,3150,400,UBY1V302MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4260,2870,MP,Normal,8.2
35,3300,0.064,0.024,12.5,40,-40,135,0.16,0.19,3000,3465,400,UBY1V332MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5810,3470,MP,Normal,7.57
35,3900,0.054,0.023,16,30.5,-40,135,0.16,0.18,3000,4095,300,UBY1V392MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5480,3400,MP,Normal,9.6
35,3900,0.054,0.025,18,25,-40,135,0.16,0.19,3000,4095,300,UBY1V392MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4500,2900,MP,Normal,10.6
35,4700,0.051,0.02,16,35.5,-40,135,0.18,0.14,3000,4935,300,UBY1V472MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6070,3630,MP,Normal,11.8
35,5100,0.052,0.022,18,30.5,-40,135,0.2,0.16,3000,5355,300,UBY1V512MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5600,3470,MP,Normal,13.1
35,5600,0.047,0.019,16,40,-40,135,0.2,0.12,3000,5880,300,UBY1V562MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6810,3930,MP,Normal,14.1
35,6200,0.047,0.019,18,35.5,-40,135,0.22,0.12,3000,6510,250,UBY1V622MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6280,3750,MP,Normal,14.2
35,7500,0.042,0.018,18,40,-40,135,0.24,0.1,3000,7875,200,UBY1V752MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,7070,4080,MP,Normal,17.7
50,620,0.214,0.056,12.5,20,-40,135,0.1,0.52,3000,930,1000,UBY1H621MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2400,1470,MP,Normal,3.43
50,820,0.162,0.044,12.5,25,-40,135,0.1,0.35,3000,1230,800,UBY1H821MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3350,2260,MP,Normal,4.56
50,1000,0.133,0.039,16,20,-40,135,0.1,0.3,3000,1500,600,UBY1H102MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2960,1870,MP,Normal,6.6
50,1100,0.121,0.037,12.5,30.5,-40,135,0.1,0.26,3000,1650,600,UBY1H112MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4220,2520,MP,Normal,6.01
50,1300,0.102,0.033,12.5,35.5,-40,135,0.1,0.23,3000,1950,500,UBY1H132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4810,2780,MP,Normal,7.06
50,1300,0.102,0.033,16,25,-40,135,0.1,0.22,3000,1950,400,UBY1H132MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4040,2500,MP,Normal,8.2
50,1300,0.102,0.038,18,20,-40,135,0.1,0.2,3000,1950,400,UBY1H132MHL3,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3130,2110,MP,Normal,9.0
50,1600,0.083,0.032,12.5,40,-40,135,0.1,0.2,3000,2400,400,UBY1H162MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5240,3020,MP,Normal,7.57
50,1800,0.074,0.029,16,30.5,-40,135,0.1,0.19,3000,2700,300,UBY1H182MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5130,2960,MP,Normal,9.6
50,1800,0.074,0.032,18,25,-40,135,0.1,0.19,3000,2700,300,UBY1H182MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4230,2530,MP,Normal,10.6
50,2200,0.072,0.025,16,35.5,-40,135,0.12,0.14,3000,3300,300,UBY1H222MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5480,3160,MP,Normal,11.8
50,2400,0.066,0.025,18,30.5,-40,135,0.12,0.16,3000,3600,300,UBY1H242MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5240,3020,MP,Normal,13.1
50,2700,0.059,0.022,16,40,-40,135,0.12,0.13,3000,4050,300,UBY1H272MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5930,3420,MP,Normal,14.1
50,3000,0.062,0.022,18,35.5,-40,135,0.14,0.12,3000,4500,250,UBY1H302MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5870,3390,MP,Normal,14.2
50,3600,0.052,0.02,18,40,-40,135,0.14,0.1,3000,5400,200,UBY1H362MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,6420,3700,MP,Normal,17.7
63,390,0.34,0.074,12.5,20,-40,135,0.1,0.56,2000,737,1000,UBY1J391MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1640,1420,MP,Normal,3.43
63,560,0.237,0.054,12.5,25,-40,135,0.1,0.39,2000,1058,800,UBY1J561MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2520,2050,MP,Normal,4.56
63,750,0.177,0.042,12.5,30.5,-40,135,0.1,0.3,2000,1418,600,UBY1J751MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3110,2630,MP,Normal,6.01
63,750,0.177,0.053,16,20,-40,135,0.1,0.34,2000,1418,600,UBY1J751MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2140,1910,MP,Normal,6.6
63,950,0.14,0.038,12.5,35.5,-40,135,0.1,0.25,2000,1796,500,UBY1J951MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3760,2970,MP,Normal,7.06
63,950,0.14,0.048,18,20,-40,135,0.1,0.26,2000,1796,400,UBY1J951MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2350,2100,MP,Normal,9.0
63,1000,0.133,0.038,16,25,-40,135,0.1,0.23,2000,1890,400,UBY1J102MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2940,2680,MP,Normal,8.2
63,1100,0.121,0.031,12.5,40,-40,135,0.1,0.22,2000,2079,400,UBY1J112MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4610,3260,MP,Normal,7.57
63,1300,0.102,0.034,16,30.5,-40,135,0.1,0.2,2000,2457,300,UBY1J132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3860,3050,MP,Normal,9.6
63,1300,0.102,0.035,18,25,-40,135,0.1,0.19,2000,2457,300,UBY1J132MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3080,2810,MP,Normal,10.6
63,1700,0.078,0.027,16,35.5,-40,135,0.1,0.15,2000,3213,300,UBY1J172MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4590,3420,MP,Normal,11.8
63,1800,0.074,0.028,18,30.5,-40,135,0.1,0.15,2000,3402,300,UBY1J182MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4080,3220,MP,Normal,13.1
63,2000,0.08,0.025,16,40,-40,135,0.12,0.14,2000,3780,300,UBY1J202MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5190,3670,MP,Normal,14.1
63,2200,0.072,0.023,18,35.5,-40,135,0.12,0.12,2000,4158,250,UBY1J222MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5220,3690,MP,Normal,14.2
63,2500,0.064,0.021,18,40,-40,135,0.12,0.11,2000,4725,200,UBY1J252MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5660,3820,MP,Normal,17.7
80,270,0.393,0.074,12.5,20,-40,135,0.08,0.56,2000,648,1000,UBY1K271MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1640,1420,MP,Normal,3.43
80,390,0.272,0.054,12.5,25,-40,135,0.08,0.39,2000,936,800,UBY1K391MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2520,2050,MP,Normal,4.56
80,470,0.226,0.053,16,20,-40,135,0.08,0.34,2000,1128,600,UBY1K471MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2140,1910,MP,Normal,6.6
80,510,0.208,0.042,12.5,30.5,-40,135,0.08,0.3,2000,1224,600,UBY1K511MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3110,2630,MP,Normal,6.01
80,620,0.171,0.038,12.5,35.5,-40,135,0.08,0.25,2000,1488,500,UBY1K621MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3760,2970,MP,Normal,7.06
80,620,0.171,0.048,18,20,-40,135,0.08,0.26,2000,1488,400,UBY1K621MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2350,2100,MP,Normal,9.0
80,680,0.156,0.038,16,25,-40,135,0.08,0.23,2000,1632,400,UBY1K681MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2940,2680,MP,Normal,8.2
80,750,0.141,0.031,12.5,40,-40,135,0.08,0.22,2000,1800,400,UBY1K751MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4610,3260,MP,Normal,7.57
80,820,0.129,0.034,16,30.5,-40,135,0.08,0.2,2000,1968,300,UBY1K821MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3860,3050,MP,Normal,9.6
80,820,0.129,0.035,18,25,-40,135,0.08,0.19,2000,1968,300,UBY1K821MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3080,2810,MP,Normal,10.6
80,1000,0.106,0.027,16,35.5,-40,135,0.08,0.15,2000,2400,300,UBY1K102MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4590,3420,MP,Normal,11.8
80,1100,0.096,0.028,18,30.5,-40,135,0.08,0.15,2000,2640,300,UBY1K112MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4080,3220,MP,Normal,13.1
80,1300,0.082,0.025,16,40,-40,135,0.08,0.14,2000,3120,300,UBY1K132MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5190,3670,MP,Normal,14.1
80,1300,0.082,0.023,18,35.5,-40,135,0.08,0.12,2000,3120,250,UBY1K132MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5220,3690,MP,Normal,14.2
80,1600,0.066,0.021,18,40,-40,135,0.08,0.11,2000,3840,200,UBY1K162MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5660,3820,MP,Normal,17.7
100,160,0.663,0.074,12.5,20,-40,135,0.08,0.56,2000,480,1000,UBY2A161MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1640,1420,MP,Normal,3.43
100,220,0.482,0.054,12.5,25,-40,135,0.08,0.39,2000,660,800,UBY2A221MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2520,2050,MP,Normal,4.56
100,270,0.393,0.053,16,20,-40,135,0.08,0.34,2000,810,600,UBY2A271MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2140,1910,MP,Normal,6.6
100,300,0.354,0.042,12.5,30.5,-40,135,0.08,0.3,2000,900,600,UBY2A301MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3110,2630,MP,Normal,6.01
100,360,0.295,0.038,12.5,35.5,-40,135,0.08,0.25,2000,1080,500,UBY2A361MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3760,2970,MP,Normal,7.06
100,360,0.295,0.048,18,20,-40,135,0.08,0.26,2000,1080,400,UBY2A361MHL6,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2350,2100,MP,Normal,9.0
100,390,0.272,0.038,16,25,-40,135,0.08,0.23,2000,1170,400,UBY2A391MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2940,2680,MP,Normal,8.2
100,430,0.247,0.031,12.5,40,-40,135,0.08,0.22,2000,1290,400,UBY2A431MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4610,3260,MP,Normal,7.57
100,470,0.226,0.034,16,30.5,-40,135,0.08,0.2,2000,1410,300,UBY2A471MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3860,3050,MP,Normal,9.6
100,510,0.208,0.035,18,25,-40,135,0.08,0.19,2000,1530,300,UBY2A511MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,3080,2810,MP,Normal,10.6
100,560,0.189,0.027,16,35.5,-40,135,0.08,0.15,2000,1680,300,UBY2A561MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4590,3420,MP,Normal,11.8
100,680,0.156,0.028,18,30.5,-40,135,0.08,0.15,2000,2040,300,UBY2A681MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,4080,3220,MP,Normal,13.1
100,750,0.141,0.025,16,40,-40,135,0.08,0.14,2000,2250,300,UBY2A751MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5190,3670,MP,Normal,14.1
100,820,0.129,0.023,18,35.5,-40,135,0.08,0.12,2000,2460,250,UBY2A821MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5220,3690,MP,Normal,14.2
100,950,0.112,0.021,18,40,-40,135,0.08,0.11,2000,2850,200,UBY2A951MHL,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,5660,3820,MP,Normal,17.7
