Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 135°C@100kHz,Status,V,VC,Vibration resistant,Weight (g)
35,330,0.12,0.075,10,20,-55,135,0.482,2000,347,1400,UBW1V331MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,950,MP,10 to 100,11550,Normal,2.34
35,470,0.12,0.058,12.5,20,-55,135,0.339,3000,494,1000,UBW1V471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1330,MP,10 to 100,16450,Normal,3.43
35,1000,0.12,0.031,16,25,-55,135,0.186,3000,1050,400,UBW1V102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2010,MP,10 to 100,35000,Normal,8.2
50,4.7,0.1,1.15,8,11.5,-55,135,28.219,1000,7,3000,UBW1H4R7MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,85,MP,10 to 100,235,Normal,1.19
50,10,0.1,0.75,8,11.5,-55,135,13.263,1000,15,3000,UBW1H100MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,180,MP,10 to 100,500,Normal,1.19
50,22,0.1,0.5,8,11.5,-55,135,6.029,1000,33,3000,UBW1H220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,250,MP,10 to 100,1100,Normal,1.19
50,33,0.1,0.45,8,11.5,-55,135,4.019,1000,50,3000,UBW1H330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,300,MP,10 to 100,1650,Normal,1.19
50,47,0.1,0.35,8,11.5,-55,135,2.822,1000,71,3000,UBW1H470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,440,MP,10 to 100,2350,Normal,1.19
50,100,0.1,0.18,10,12.5,-55,135,1.326,2000,150,2000,UBW1H101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,555,MP,10 to 100,5000,Normal,1.49
50,220,0.1,0.098,10,20,-55,135,0.603,2000,330,1400,UBW1H221MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,930,MP,10 to 100,11000,Normal,2.34
50,330,0.1,0.07,12.5,20,-55,135,0.402,3000,495,1000,UBW1H331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1330,MP,10 to 100,16500,Normal,3.43
50,470,0.1,0.055,12.5,25,-55,135,0.282,3000,705,800,UBW1H471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1650,MP,10 to 100,23500,Normal,4.56
50,1000,0.1,0.031,16,30.5,-55,135,0.159,3000,1500,300,UBW1H102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,2430,MP,10 to 100,50000,Normal,9.6
63,22,0.1,2,8,11.5,-55,135,6.029,1000,42,3000,UBW1J220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,130,MP,10 to 100,1386,Normal,1.19
63,33,0.1,1.5,8,11.5,-55,135,4.019,1000,62,3000,UBW1J330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,150,MP,10 to 100,2079,Normal,1.19
63,47,0.1,0.59,10,12.5,-55,135,2.822,2000,89,2000,UBW1J470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,530,MP,10 to 100,2961,Normal,1.49
63,100,0.1,0.41,10,16,-55,135,1.326,2000,189,1800,UBW1J101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,690,MP,10 to 100,6300,Normal,1.77
63,220,0.1,0.16,12.5,20,-55,135,0.603,3000,416,1000,UBW1J221MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1050,MP,10 to 100,13860,Normal,3.43
63,330,0.1,0.12,12.5,25,-55,135,0.402,3000,624,800,UBW1J331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1290,MP,10 to 100,20790,Normal,4.56
63,470,0.1,0.097,12.5,30.5,-55,135,0.282,3000,888,600,UBW1J471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1460,MP,10 to 100,29610,Normal,6.01
63,1000,0.1,0.055,16,30.5,-55,135,0.159,3000,1890,300,UBW1J102MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1900,MP,10 to 100,63000,Normal,9.6
80,22,0.08,1.5,8,11.5,-55,135,4.823,1000,53,3000,UBW1K220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,150,MP,10 to 100,1760,Normal,1.19
80,33,0.08,0.8,10,12.5,-55,135,3.215,2000,79,2000,UBW1K330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,10 to 100,2640,Normal,1.49
80,47,0.08,0.8,10,12.5,-55,135,2.258,2000,113,2000,UBW1K470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,10 to 100,3760,Normal,1.49
80,100,0.08,0.39,10,20,-55,135,1.061,2000,240,1400,UBW1K101MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,790,MP,10 to 100,8000,Normal,2.34
80,220,0.08,0.18,12.5,25,-55,135,0.482,3000,528,800,UBW1K221MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1240,MP,10 to 100,17600,Normal,4.56
80,330,0.08,0.16,12.5,30.5,-55,135,0.322,3000,792,600,UBW1K331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1390,MP,10 to 100,26400,Normal,6.01
80,470,0.08,0.11,16,25,-55,135,0.226,3000,1128,400,UBW1K471MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1500,MP,10 to 100,37600,Normal,8.2
100,10,0.08,1.5,8,11.5,-55,135,10.61,1000,30,3000,UBW2A100MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,150,MP,10 to 100,1000,Normal,1.19
100,22,0.08,0.8,10,12.5,-55,135,4.823,2000,66,2000,UBW2A220MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,10 to 100,2200,Normal,1.49
100,33,0.08,0.8,10,12.5,-55,135,3.215,2000,99,2000,UBW2A330MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,480,MP,10 to 100,3300,Normal,1.49
100,47,0.08,0.55,10,16,-55,135,2.258,2000,141,1800,UBW2A470MPD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,630,MP,10 to 100,4700,Normal,1.77
100,100,0.08,0.25,12.5,20,-55,135,1.061,3000,300,1000,UBW2A101MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,990,MP,10 to 100,10000,Normal,3.43
100,220,0.08,0.11,16,25,-55,135,0.482,3000,660,400,UBW2A221MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1500,MP,10 to 100,22000,Normal,8.2
100,330,0.08,0.079,16,30.5,-55,135,0.322,3000,990,300,UBW2A331MHD,Uni-Polar,Radial Lead,Hi-Temp.(125/135degC) For Automotive,1790,MP,10 to 100,33000,Normal,9.6
