Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Part Number,Ripple Current,Surge Voltage
25,220,84.4,8,11,14,0.072,55.0,ESY227M025AG3(1),760,32
25,270,68.771,8,15,14,0.068,67.5,ESY277M025AG4(1),900,32
25,270,68.771,10,12.5,14,0.065,67.5,ESY277M025AH9(1),930,32
25,330,56.267,10,12.5,14,0.053,82.5,ESY337M025AH9(1),1030,32
25,330,56.267,8,16,14,0.056,82.5,ESY337M025AG8(1),1000,32
25,470,39.507,8,20,14,0.041,117.5,ESY477M025AG6(1),1250,32
25,470,39.507,10,16,14,0.038,117.5,ESY477M025AH8(1),1430,32
25,560,33.157,10,20,14,0.032,140.0,ESY567M025AH4(1),1650,32
25,680,27.306,10,20,14,0.026,170.0,ESY687M025AH4(1),1820,32
25,820,22.644,10,25,14,0.023,205.0,ESY827M025AH5(1),2150,32
25,1000,18.568,13,20,14,0.021,250.0,ESY108M025AL3(1),2360,32
25,1200,15.473,13,25,14,0.02,300.0,ESY128M025AL4(1),2510,32
25,1500,12.379,13,25,14,0.018,375.0,ESY158M025AL4(1),2770,32
25,1800,10.316,13,30,14,0.016,450.0,ESY188M025AL8(1),3290,32
25,1800,10.316,16,20,14,0.018,450.0,ESY188M025AM5(1),3140,32
25,2200,8.44,13,35,14,0.015,550.0,ESY228M025AL6(1),3400,32
25,2700,6.877,16,25,14,0.016,675.0,ESY278M025AM7(1),3460,32
35,10,1591.551,4,7,12,0.96,3.5,ESY106M035AB2(1),130,44
35,15,1061.034,5,7,12,0.57,5.3,ESY156M035AC2(1),190,44
35,18,884.195,5,7,12,0.47,6.3,ESY186M035AC2(1),210,44
35,27,589.463,5,11,12,0.37,9.5,ESY276M035AC3(1),230,44
35,33,482.288,5,11,12,0.3,11.6,ESY336M035AC3(1),250,44
35,39,408.09,6.3,7,12,0.25,13.7,ESY396M035AE2(1),300,44
35,47,338.628,6.3,11,12,0.15,16.5,ESY476M035AE3(1),380,44
35,47,338.628,8,7,12,0.19,16.5,ESY476M035AG1(1),350,44
35,56,284.205,6.3,11,12,0.13,19.6,ESY566M035AE3(1),410,44
35,56,284.205,8,7,12,0.16,19.6,ESY566M035AG1(1),380,44
35,68,234.052,8,11,12,0.12,23.8,ESY686M035AG3(1),510,44
35,100,159.155,8,11,12,0.105,35.0,ESY107M035AG3(1),620,44
35,120,132.629,8,11,12,0.088,42.0,ESY127M035AG3(1),680,44
35,150,106.103,8,11,12,0.072,52.5,ESY157M035AG3(1),760,44
35,180,88.419,8,15,12,0.068,63.0,ESY187M035AG4(1),910,44
35,180,88.419,10,12.5,12,0.065,63.0,ESY187M035AH9(1),930,44
35,220,72.343,10,12.5,12,0.053,77.0,ESY227M035AH9(1),1030,44
35,220,72.343,8,16,12,0.056,77.0,ESY227M035AG8(1),1000,44
35,270,58.946,8,20,12,0.041,94.5,ESY277M035AG6(1),1250,44
35,330,48.229,10,16,12,0.038,115.5,ESY337M035AH8(1),1430,44
35,470,33.863,10,20,12,0.026,164.5,ESY477M035AH4(1),1820,44
35,560,28.421,10,25,12,0.023,196.0,ESY567M035AH5(1),2150,44
35,680,23.405,13,20,12,0.021,238.0,ESY687M035AL3(1),2360,44
35,820,19.409,13,25,12,0.02,287.0,ESY827M035AL4(1),2510,44
35,1000,15.916,13,25,12,0.018,350.0,ESY108M035AL4(1),2770,44
35,1200,13.263,13,30,12,0.016,420.0,ESY128M035AL8(1),3290,44
35,1200,13.263,16,20,12,0.018,420.0,ESY128M035AM5(1),3140,44
35,1500,10.61,13,35,12,0.015,525.0,ESY158M035AL6(1),3400,44
35,1800,8.842,16,25,12,0.016,630.0,ESY188M035AM7(1),3460,44
50,5.6,2368.379,4,7,10,1.0,3.0,ESY565M050AB2(1),130,63
50,6.8,1950.43,5,7,10,0.74,3.4,ESY685M050AC2(1),170,63
50,10,1326.292,5,7,10,0.5,5.0,ESY106M050AC2(1),210,63
50,15,884.195,5,11,10,0.48,7.5,ESY156M050AC3(1),215,63
50,15,884.195,6.3,7,10,0.38,7.5,ESY156M050AE2(1),220,63
50,22,602.86,5,11,10,0.34,11.0,ESY226M050AC3(1),240,63
50,22,602.86,6.3,7,10,0.26,11.0,ESY226M050AE2(1),300,63
50,27,491.219,8,7,10,0.21,13.5,ESY276M050AG1(1),340,63
50,33,401.907,8,7,10,0.17,16.5,ESY336M050AG1(1),380,63
50,39,340.075,6.3,11,10,0.16,19.5,ESY396M050AE3(1),330,63
50,47,282.19,6.3,11,10,0.15,23.5,ESY476M050AE3(1),360,63
50,56,236.838,6.3,11,10,0.14,28.0,ESY566M050AE3(1),390,63
50,68,195.043,8,11,10,0.11,34.0,ESY686M050AG3(1),600,63
50,82,161.743,8,11,10,0.09,41.0,ESY826M050AG3(1),660,63
50,100,132.629,8,11,10,0.074,50.0,ESY107M050AG3(1),730,63
50,120,110.524,8,15,10,0.065,60.0,ESY127M050AG4(1),950,63
50,150,88.419,10,12.5,10,0.061,75.0,ESY157M050AH9(1),980,63
50,180,73.683,8,20,10,0.046,90.0,ESY187M050AG6(1),1190,63
50,220,60.286,10,16,10,0.042,110.0,ESY227M050AH8(1),1370,63
50,270,49.122,10,20,10,0.03,135.0,ESY277M050AH4(1),1580,63
50,330,40.191,10,25,10,0.028,165.0,ESY337M050AH5(1),1870,63
50,390,34.007,13,20,10,0.028,195.0,ESY397M050AL3(1),1870,63
50,470,28.219,13,20,10,0.027,235.0,ESY477M050AL3(1),2050,63
50,560,23.684,13,25,10,0.023,280.0,ESY567M050AL4(1),2410,63
50,680,19.504,13,30,10,0.021,340.0,ESY687M050AL8(1),2860,63
50,820,16.174,13,35,10,0.019,410.0,ESY827M050AL6(1),2960,63
50,820,16.174,16,20,10,0.023,410.0,ESY827M050AM5(1),2730,63
50,1000,13.263,16,32,10,0.021,500.0,ESY108M050AM2(1),3350,63
63,15,795.775,5,11,9,1.19,9.5,ESY156M063AC3(1),136,79
63,22,542.574,6.3,11,9,0.88,13.9,ESY226M063AE3(1),176,79
63,27,442.097,6.3,11,9,0.58,17.0,ESY276M063AE3(1),192,79
63,33,361.716,6.3,11,9,0.47,20.8,ESY336M063AE3(1),216,79
63,39,306.067,8,11,9,0.42,24.6,ESY396M063AG3(1),308,79
63,47,253.971,8,11,9,0.35,29.6,ESY476M063AG3(1),336,79
63,56,213.154,8,11,9,0.35,35.3,ESY566M063AG3(1),400,79
63,68,175.539,8,15,9,0.26,42.8,ESY686M063AG4(1),488,79
63,68,175.539,10,12.5,9,0.24,42.8,ESY686M063AH9(1),500,79
63,82,145.569,8,15,9,0.22,51.7,ESY826M063AG4(1),536,79
63,82,145.569,10,12.5,9,0.2,51.7,ESY826M063AH9(1),552,79
63,100,119.366,10,16,9,0.16,63.0,ESY107M063AH8(1),640,79
63,120,99.472,8,20,9,0.16,75.6,ESY127M063AG6(1),656,79
63,120,99.472,10,16,9,0.15,75.6,ESY127M063AH8(1),760,79
63,150,79.578,10,20,9,0.13,94.5,ESY157M063AH4(1),808,79
63,150,79.578,13,16,9,0.13,94.5,ESY157M063AL2(1),832,79
63,180,66.315,10,20,9,0.11,113.4,ESY187M063AH4(1),880,79
63,180,66.315,13,16,9,0.11,113.4,ESY187M063AL2(1),912,79
63,220,54.257,10,25,9,0.099,138.6,ESY227M063AH5(1),1040,79
63,270,44.21,13,20,9,0.81,170.1,ESY277M063AL3(1),1200,79
63,330,36.172,13,25,9,0.058,207.9,ESY337M063AL4(1),1480,79
63,390,30.607,13,30,9,0.063,245.7,ESY397M063AL8(1),1640,79
63,390,30.607,16,20,9,0.073,245.7,ESY397M063AM5(1),1448,79
63,470,25.397,13,30,9,0.061,296.1,ESY477M063AL8(1),1800,79
63,470,25.397,16,20,9,0.061,296.1,ESY477M063AM5(1),1592,79
63,560,21.315,13,35,9,0.047,352.8,ESY567M063AL6(1),1960,79
63,560,21.315,16,25,9,0.043,352.8,ESY567M063AM7(1),2040,79
63,680,17.554,13,40,9,0.039,428.4,ESY687M063AL7(1),2224,79
63,680,17.554,18,20,9,0.051,428.4,ESY687M063AN4(1),1960,79
63,820,14.557,16,32,9,0.035,516.6,ESY827M063AM2(1),2248,79
63,820,14.557,18,25,9,0.042,516.6,ESY827M063AN5(1),2224,79
63,1000,11.937,16,36,9,0.028,630.0,ESY108M063AM3(1),2272,79
63,1000,11.937,18,32,9,0.034,630.0,ESY108M063AN1(1),2616,79
63,1200,9.947,16,40,9,0.026,756.0,ESY128M063AM4(1),2672,79
63,1200,9.947,18,36,9,0.027,756.0,ESY128M063AN2(1),2648,79
63,1500,7.958,18,40,9,0.024,945.0,ESY158M063AN3(1),2736,79
100,6.8,1560.344,5,11,8,1.4,6.8,ESY685M100AC3(1),125,125
100,10,1061.034,6.3,11,8,0.95,10.0,ESY106M100AE3(1),170,125
100,15,707.356,6.3,11,8,0.57,15.0,ESY156M100AE3(1),210,125
100,22,482.288,8,11,8,0.44,22.0,ESY226M100AG3(1),330,125
100,27,392.976,8,11,8,0.36,27.0,ESY276M100AG3(1),360,125
100,33,321.525,8,15,8,0.3,33.0,ESY336M100AG4(1),375,125
100,39,272.06,8,15,8,0.25,39.0,ESY396M100AG4(1),450,125
100,47,225.752,10,12.5,8,0.24,47.0,ESY476M100AH9(1),450,125
100,56,189.47,8,20,8,0.19,56.0,ESY566M100AG6(1),570,125
100,68,156.034,10,16,8,0.18,68.0,ESY686M100AH8(1),580,125
100,82,129.394,10,20,8,0.13,82.0,ESY826M100AH4(1),750,125
100,82,129.394,13,16,8,0.13,82.0,ESY826M100AL2(1),740,125
100,100,106.103,10,25,8,0.12,100.0,ESY107M100AH5(1),880,125
100,120,88.419,13,20,8,0.094,120.0,ESY127M100AL3(1),1050,125
100,150,70.736,13,25,8,0.085,150.0,ESY157M100AL4(1),1100,125
100,180,58.946,13,25,8,0.071,180.0,ESY187M100AL4(1),1200,125
100,220,48.229,13,30,8,0.063,220.0,ESY227M100AL8(1),1410,125
100,220,48.229,16,20,8,0.071,220.0,ESY227M100AM5(1),1300,125
100,270,39.298,13,35,8,0.052,270.0,ESY277M100AL6(1),1560,125
100,270,39.298,16,25,8,0.053,270.0,ESY277M100AM7(1),1600,125
100,270,39.298,18,20,8,0.069,270.0,ESY277M100AN4(1),1470,125
100,330,32.153,13,40,8,0.046,330.0,ESY337M100AL7(1),1700,125
100,390,27.206,16,32,8,0.041,390.0,ESY397M100AM2(1),1750,125
100,390,27.206,18,25,8,0.049,390.0,ESY397M100AN5(1),1620,125
100,470,22.575,16,36,8,0.033,470.0,ESY477M100AM3(1),1890,125
100,470,22.575,18,32,8,0.039,470.0,ESY477M100AN1(1),1780,125
100,560,18.947,16,40,8,0.03,560.0,ESY567M100AM4(1),2080,125
100,560,18.947,18,36,8,0.031,560.0,ESY567M100AN2(1),2060,125
100,680,15.603,18,40,8,0.028,680.0,ESY687M100AN3(1),2570,125
