VDC,VDC Surge Voltage,Rated Capacitance 120 Hz 20°C (µF),Case Size D x L (mm),DF 120 Hz 20°C (tan δ %)*,RC 100 kHz 105°C (mA),ESR 100 kHz 20°C (Ω),LC 20°C 2 minutes (µA),Part Number
420,470,56,12.5 x 45,24,290,,1421.2,ETG566M420AKA(1)
420,470,68,12.5 x 50,24,335,,1723.6,ETG686M420AKB(1)
420,470,82,12.5 x 55,24,385,,2076.4,ETG826M420AKC(1)
450,500,12,8 x 35,24,110,,334.0,ETG126M450AGC(1)
450,500,15,8 x 40,24,130,,415.0,ETG156M450AGD(1)
450,500,22,8 x 45,24,165,,604.0,ETG226M450AGF(1)
450,500,22,10 x 35,24,165,,604.0,ETG226M450AHA(1)
450,500,27,8 x 52,24,195,,739.0,ETG276M450AGH(1)
450,500,27,10 x 40,24,195,,739.0,ETG276M450AHB(1)
450,500,33,10 x 45,24,230,,901.0,ETG336M450AHD(1)
450,500,33,12.5 x 35,24,230,,901.0,ETG336M450AK3(1)
450,500,39,10 x 50,24,265,,1063.0,ETG396M450AHE(1)
450,500,39,12.5 x 40,24,265,,1063.0,ETG396M450AK4(1)
450,500,47,10 x 52,24,295,,1279.0,ETG476M450AHF(1)
450,500,47,12.5 x 45,24,310,,1279.0,ETG476M450AKA(1)
450,500,56,12.5 x 50,24,355,,1522.0,ETG566M450AKB(1)
450,500,68,12.5 x 55,24,410,,1846.0,ETG686M450AKC(1)
