VDC,VDC Surge,Rated Capacitance,Case Size,DF,RC,LC,Part Number
25,32,1000,10 x 20,16,680,250.0,ESE108M025AH4(1)
25,32,1500,13 x 20,16,880,375.0,ESE158M025AL3(1)
25,32,2200,13 x 25,16,1030,550.0,ESE228M025AL4(1)
25,32,3300,16 x 25,16,1230,825.0,ESE338M025AM7(1)
25,32,4700,16 x 32,16,1420,1175.0,ESE478M025AM2(1)
25,32,6800,18 x 36,16,1850,1700.0,ESE688M025AN2(1)
35,44,4.7,5 x 11,14,25,3.0,ESE475M035AC3(1)
35,44,6.8,5 x 11,14,30,3.0,ESE685M035AC3(1)
35,44,10,5 x 11,14,40,3.5,ESE106M035AC3(1)
35,44,15,5 x 11,14,50,5.3,ESE156M035AC3(1)
35,44,22,5 x 11,14,65,7.7,ESE226M035AC3(1)
35,44,33,5 x 11,14,85,11.6,ESE336M035AC3(1)
35,44,47,5 x 11,14,95,16.5,ESE476M035AC3(1)
35,44,68,6.3 x 11,14,125,23.8,ESE686M035AE3(1)
35,44,100,6.3 x 11,14,150,35.0,ESE107M035AE3(1)
35,44,150,8 x 11,14,200,52.5,ESE157M035AG3(1)
35,44,220,8 x 11,14,230,77.0,ESE227M035AG3(1)
35,44,220,10 x 12.5,14,315,77.0,ESE227M035AH9(1)
35,44,330,8 x 15,14,345,115.5,ESE337M035AG4(1)
35,44,330,10 x 12.5,14,380,115.5,ESE337M035AH9(1)
35,44,470,10 x 15,14,415,164.5,ESE477M035AH2(1)
35,44,680,10 x 20,14,680,238.0,ESE687M035AH4(1)
35,44,1000,13 x 20,14,850,350.0,ESE108M035AL3(1)
35,44,1500,13 x 25,14,935,525.0,ESE158M035AL4(1)
35,44,2200,16 x 25,14,1230,770.0,ESE228M035AM7(1)
35,44,3300,16 x 36,14,1470,1155.0,ESE338M035AM3(1)
35,44,4700,18 x 36,14,1580,1645.0,ESE478M035AN2(1)
50,63,1.0,5 x 11,12,12,3.0,ESE105M050AC3(1)
50,63,2.2,5 x 11,12,18,3.0,ESE225M050AC3(1)
50,63,3.3,5 x 11,12,25,3.0,ESE335M050AC3(1)
50,63,4.7,5 x 11,12,30,3.0,ESE475M050AC3(1)
50,63,6.8,5 x 11,12,32,3.4,ESE685M050AC3(1)
50,63,10,5 x 11,12,50,5.0,ESE106M050AC3(1)
50,63,15,5 x 11,12,60,7.5,ESE156M050AC3(1)
50,63,22,5 x 11,12,75,11.0,ESE226M050AC3(1)
50,63,33,5 x 11,12,95,16.5,ESE336M050AC3(1)
50,63,47,6.3 x 11,12,105,23.5,ESE476M050AE3(1)
50,63,68,8 x 11,12,159,34.0,ESE686M050AG3(1)
50,63,100,8 x 11,12,160,50.0,ESE107M050AG3(1)
50,63,150,10 x 12.5,12,289,75.0,ESE157M050AH9(1)
50,63,220,10 x 12.5,12,340,110.0,ESE227M050AH9(1)
50,63,330,10 x 20,12,535,165.0,ESE337M050AH4(1)
50,63,470,10 x 20,12,580,235.0,ESE477M050AH4(1)
50,63,470,13 x 20,12,730,235.0,ESE477M050AL3(1)
50,63,680,13 x 25,12,860,340.0,ESE687M050AL4(1)
50,63,1000,13 x 25,12,930,500.0,ESE108M050AL4(1)
50,63,1500,16 x 25,12,1220,750.0,ESE158M050AM7(1)
50,63,2200,16 x 36,12,1360,1100.0,ESE228M050AM3(1)
50,63,3300,18 x 36,12,1540,1650.0,ESE338M050AN2(1)
63,79,1.0,5 x 11,10,13,3.0,ESE105M063AC3(1)
63,79,2.2,5 x 11,10,20,3.0,ESE225M063AC3(1)
63,79,3.3,5 x 11,10,27,3.0,ESE335M063AC3(1)
63,79,4.7,5 x 11,10,34,3.0,ESE475M063AC3(1)
63,79,6.8,5 x 11,10,37,4.3,ESE685M063AC3(1)
63,79,10,5 x 11,10,55,6.3,ESE106M063AC3(1)
63,79,15,5 x 11,10,65,9.5,ESE156M063AC3(1)
63,79,22,6.3 x 11,10,90,13.9,ESE226M063AE3(1)
63,79,33,6.3 x 11,10,110,20.8,ESE336M063AE3(1)
63,79,47,8 x 11,10,155,29.6,ESE476M063AG3(1)
63,79,100,8 x 15,10,230,63.0,ESE107M063AG4(1)
63,79,100,10 x 12.5,10,260,63.0,ESE107M063AH9(1)
63,79,150,10 x 15,10,330,94.5,ESE157M063AH2(1)
63,79,220,10 x 15,10,400,138.6,ESE227M063AH2(1)
63,79,220,10 x 20,10,460,138.6,ESE227M063AH4(1)
63,79,330,10 x 20,10,520,207.9,ESE337M063AH4(1)
63,79,470,13 x 20,10,700,296.1,ESE477M063AL3(1)
63,79,680,13 x 25,10,840,428.4,ESE687M063AL4(1)
63,79,1000,16 x 25,10,1020,630.0,ESE108M063AM7(1)
63,79,1500,16 x 32,10,1300,945.0,ESE158M063AM2(1)
63,79,2200,18 x 36,10,1455,1386.0,ESE228M063AN2(1)
100,125,1.0,5 x 11,10,15,3.0,ESE105M100AC3(1)
100,125,2.2,5 x 11,10,22,3.0,ESE225M100AC3(1)
100,125,3.3,5 x 11,10,29,3.3,ESE335M100AC3(1)
100,125,4.7,5 x 11,10,37,4.7,ESE475M100AC3(1)
100,125,6.8,5 x 11,10,46,6.8,ESE685M100AC3(1)
100,125,10,5 x 11,10,55,10.0,ESE106M100AC3(1)
100,125,10,6.3 x 11,10,65,10.0,ESE106M100AE3(1)
100,125,15,6.3 x 11,10,72,15.0,ESE156M100AE3(1)
100,125,22,8 x 11,10,115,22.0,ESE226M100AG3(1)
100,125,33,8 x 11,10,120,33.0,ESE336M100AG3(1)
100,125,47,10 x 12.5,10,180,47.0,ESE476M100AH9(1)
100,125,68,10 x 15,10,241,68.0,ESE686M100AH2(1)
100,125,100,10 x 20,10,385,100.0,ESE107M100AH4(1)
100,125,150,13 x 20,10,414,150.0,ESE157M100AL3(1)
100,125,220,13 x 25,10,590,220.0,ESE227M100AL4(1)
100,125,330,13 x 25,10,600,330.0,ESE337M100AL4(1)
100,125,470,16 x 25,10,740,470.0,ESE477M100AM7(1)
100,125,680,16 x 36,10,1200,680.0,ESE687M100AM3(1)
100,125,1000,18 x 40,10,1340,1000.0,ESE108M100AN3(1)
160,200,1.0,5 x 11,15,17,14.8,ESE105M160AC3(1)
160,200,2.2,6.3 x 11,15,25,20.6,ESE225M160AE3(1)
160,200,3.3,6.3 x 11,15,30,25.8,ESE335M160AE3(1)
160,200,4.7,6.3 x 11,15,34,32.6,ESE475M160AE3(1)
160,200,6.8,8 x 11,15,50,42.6,ESE685M160AG3(1)
160,200,10,8 x 11,15,56,58.0,ESE106M160AG3(1)
160,200,15,10 x 12.5,15,80,82.0,ESE156M160AH9(1)
160,200,22,10 x 15,15,130,115.6,ESE226M160AH2(1)
160,200,33,10 x 20,15,180,168.4,ESE336M160AH4(1)
160,200,47,10 x 20,15,230,235.6,ESE476M160AH4(1)
160,200,68,13 x 20,15,270,336.4,ESE686M160AL3(1)
160,200,100,13 x 25,15,330,490.0,ESE107M160AL4(1)
160,200,150,16 x 25,15,410,730.0,ESE157M160AM7(1)
160,200,220,16 x 32,15,550,1066.0,ESE227M160AM2(1)
160,200,330,18 x 36,15,770,1594.0,ESE337M160AN2(1)
160,200,470,18 x 40,15,800,2266.0,ESE477M160AN3(1)
200,250,1.0,5 x 11,15,19,16.0,ESE105M200AC3(1)
200,250,2.2,6.3 x 11,15,22,23.2,ESE225M200AE3(1)
200,250,3.3,6.3 x 11,15,32,29.8,ESE335M200AE3(1)
200,250,4.7,8 x 11,15,40,38.2,ESE475M200AG3(1)
200,250,6.8,8 x 11,15,56,50.8,ESE685M200AG3(1)
200,250,10,10 x 12.5,15,69,70.0,ESE106M200AH9(1)
200,250,15,10 x 15,15,110,100.0,ESE156M200AH2(1)
200,250,22,10 x 15,15,140,142.0,ESE226M200AH2(1)
200,250,33,10 x 20,15,190,208.0,ESE336M200AH4(1)
200,250,47,13 x 20,15,240,292.0,ESE476M200AL3(1)
200,250,68,13 x 25,15,330,418.0,ESE686M200AL4(1)
200,250,100,16 x 25,15,410,610.0,ESE107M200AM7(1)
200,250,150,16 x 32,15,430,910.0,ESE157M200AM2(1)
200,250,220,16 x 36,15,520,1330.0,ESE227M200AM3(1)
200,250,220,18 x 32,15,520,1330.0,ESE227M200AN1(1)
200,250,330,18 x 36,15,705,1990.0,ESE337M200AN2(1)
250,300,1.0,6.3 x 11,15,19,17.5,ESE105M250AE3(1)
250,300,2.2,6.3 x 11,15,23,26.5,ESE225M250AE3(1)
250,300,3.3,8 x 11,15,33,34.8,ESE335M250AG3(1)
250,300,4.7,8 x 11,15,41,45.3,ESE475M250AG3(1)
250,300,6.8,8 x 11,15,57,61.0,ESE685M250AG3(1)
250,300,10,10 x 12.5,15,78,85.0,ESE106M250AH9(1)
250,300,15,10 x 15,15,120,122.5,ESE156M250AH2(1)
250,300,22,10 x 20,15,155,175.0,ESE226M250AH4(1)
250,300,33,13 x 20,15,170,257.5,ESE336M250AL3(1)
250,300,47,13 x 25,15,330,362.5,ESE476M250AL4(1)
250,300,68,13 x 25,15,340,520.0,ESE686M250AL4(1)
250,300,100,16 x 25,15,415,760.0,ESE107M250AM7(1)
250,300,150,16 x 32,15,435,1135.0,ESE157M250AM2(1)
250,300,220,18 x 36,15,600,1660.0,ESE227M250AN2(1)
350,400,1.0,6.3 x 11,20,20,20.5,ESE105M350AE3(1)
350,400,2.2,8 x 11,20,35,33.1,ESE225M350AG3(1)
350,400,3.3,8 x 11,20,37,44.7,ESE335M350AG3(1)
350,400,4.7,8 x 11,20,47,59.4,ESE475M350AG3(1)
350,400,10,10 x 15,20,95,115.0,ESE106M350AH2(1)
350,400,15,10 x 20,20,140,167.5,ESE156M350AH4(1)
350,400,22,13 x 20,20,165,241.0,ESE226M350AL3(1)
350,400,33,13 x 25,20,220,356.5,ESE336M350AL4(1)
350,400,47,16 x 25,20,340,503.5,ESE476M350AM7(1)
350,400,100,18 x 32,20,430,1060.0,ESE107M350AN1(1)
350,400,150,18 x 40,20,480,1585.0,ESE157M350AN3(1)
400,450,1.0,6.3 x 11,20,16,22.0,ESE105M400AE3(1)
400,450,1.0,8 x 11,20,20,22.0,ESE105M400AG3(1)
400,450,2.2,6.3 x 11,20,20,36.4,ESE225M400AE3(1)
400,450,2.2,8 x 11,20,28,36.4,ESE225M400AG3(1)
400,450,3.3,8 x 11,20,38,49.6,ESE335M400AG3(1)
400,450,4.7,8 x 11,20,40,66.4,ESE475M400AG3(1)
400,450,4.7,10 x 12.5,20,49,66.4,ESE475M400AH9(1)
400,450,6.8,8 x 15,20,50,91.6,ESE685M400AG4(1)
400,450,6.8,10 x 12.5,20,52,91.6,ESE685M400AH9(1)
400,450,10,10 x 15,20,65,130.0,ESE106M400AH2(1)
400,450,15,10 x 20,20,100,190.0,ESE156M400AH4(1)
400,450,22,13 x 20,20,150,274.0,ESE226M400AL3(1)
400,450,33,13 x 25,20,190,406.0,ESE336M400AL4(1)
400,450,33,16 x 20,20,195,406.0,ESE336M400AM5(1)
400,450,47,16 x 25,20,280,574.0,ESE476M400AM7(1)
400,450,47,18 x 20,20,275,574.0,ESE476M400AN4(1)
400,450,68,16 x 32,20,320,826.0,ESE686M400AM2(1)
400,450,68,18 x 25,20,305,826.0,ESE686M400AN5(1)
400,450,100,18 x 32,20,430,1210.0,ESE107M400AN1(1)
400,450,120,18 x 32,20,440,1450.0,ESE127M400AN1(1)
400,450,150,18 x 36,20,450,1810.0,ESE157M400AN2(1)
400,450,150,18 x 40,20,460,1810.0,ESE157M400AN3(1)
400,450,180,18 x 45,20,480,2170.0,ESE187M400AN7(1)
450,500,1,8 x 11,20,20,23.5,ESE105M450AG3(1)
450,500,2.2,8 x 11,20,28,39.7,ESE225M450AG3(1)
450,500,2.2,10 x 12.5,20,35,39.7,ESE225M450AH9(1)
450,500,3.3,10 x 12.5,20,49,54.6,ESE335M450AH9(1)
450,500,4.7,10 x 12.5,20,55,73.5,ESE475M450AH9(1)
450,500,6.8,10 x 15,20,65,101.8,ESE685M450AH2(1)
450,500,10,10 x 20,20,75,145.0,ESE106M450AH4(1)
450,500,15,13 x 20,20,125,212.5,ESE156M450AL3(1)
450,500,22,13 x 25,20,160,307.0,ESE226M450AL4(1)
450,500,33,16 x 25,20,210,455.5,ESE336M450AM7(1)
450,500,47,16 x 32,20,270,644.5,ESE476M450AM2(1)
450,500,68,18 x 32,20,305,928.0,ESE686M450AN1(1)
450,500,100,18 x 36,20,380,1360.0,ESE107M450AN2(1)
