VDC,VDC Surge,Rated Capacitance,Case Size,DF,Z,RC,ESR 20℃@100kHz,LC,Part Number
25,32,1500,13 x 25,14,0.034,2230,0.034,375.0,EST158M025AL4(1)
25,32,2200,13 x 35,14,0.027,2880,0.027,550.0,EST228M025AL6(1)
25,32,2700,16 x 25,14,0.028,2930,0.028,675.0,EST278M025AM7(1)
25,32,3300,16 x 32,14,0.025,3450,0.025,825.0,EST338M025AM2(1)
25,32,3900,18 x 32,14,0.015,4170,0.015,975.0,EST398M025AN1(1)
25,32,4700,18 x 36,14,0.014,4280,0.014,1175.0,EST478M025AN2(1)
35,44,33,5 x 11,12,0.720,210,0.72,11.6,EST336M035AC3(1)
35,44,47,6.3 x 11,12,0.380,340,0.38,16.5,EST476M035AE3(1)
35,44,150,8 x 11,12,0.200,640,0.2,52.5,EST157M035AG3(1)
35,44,220,8 x 15,12,0.160,840,0.16,77.0,EST227M035AG4(1)
35,44,330,10 x 20,12,0.062,1400,0.062,115.5,EST337M035AH4(1)
35,44,470,10 x 25,12,0.052,1650,0.052,164.5,EST477M035AH5(1)
35,44,680,10 x 30,12,0.044,1910,0.044,238.0,EST687M035AH6(1)
35,44,680,13 x 20,12,0.046,1900,0.046,238.0,EST687M035AL3(1)
35,44,820,13 x 25,12,0.045,2230,0.045,287.0,EST827M035AL4(1)
35,44,1000,13 x 25,12,0.045,2230,0.045,350.0,EST108M035AL4(1)
35,44,1200,13 x 30,12,0.030,2650,0.03,420.0,EST128M035AL8(1)
35,44,1500,13 x 35,12,0.027,2880,0.027,525.0,EST158M035AL6(1)
35,44,1800,13 x 40,12,0.024,3350,0.024,630.0,EST188M035AL7(1)
35,44,2200,16 x 32,12,0.025,3450,0.025,770.0,EST228M035AM2(1)
35,44,2700,16 x 36,12,0.022,3610,0.022,945.0,EST278M035AM3(1)
35,44,3300,18 x 36,12,0.020,4220,0.02,1155.0,EST338M035AN2(1)
50,63,10,5 x 11,14,3.500,120,3.5,5.0,EST106M050AC3(1)
50,63,22,5 x 11,14,2.300,210,2.3,11.0,EST226M050AC3(1)
50,63,33,6.3 x 11,14,1.200,340,1.2,16.5,EST336M050AE3(1)
50,63,47,6.3 x 11,14,1.200,340,1.2,23.5,EST476M050AE3(1)
50,63,100,8 x 11,14,0.630,555,0.63,50.0,EST107M050AG3(1)
50,63,120,8 x 15,14,0.450,730,0.45,60.0,EST127M050AG4(1)
50,63,150,8 x 20,14,0.330,910,0.33,75.0,EST157M050AG6(1)
50,63,220,10 x 15,10,0.310,1050,#NA,110.0,EST227M050AH2(1)
50,63,220,10 x 16,14,0.310,1050,0.31,110.0,EST227M050AH8(1)
50,63,330,10 x 20,14,0.210,1400,0.21,165.0,EST337M050AH4(1)
50,63,470,10 x 30,14,0.150,1690,0.15,235.0,EST477M050AH6(1)
50,63,470,13 x 20,14,0.160,1660,0.16,235.0,EST477M050AL3(1)
50,63,560,13 x 25,14,0.120,1950,0.12,280.0,EST567M050AL4(1)
50,63,680,13 x 30,14,0.100,2310,0.1,340.0,EST687M050AL8(1)
50,63,820,13 x 35,14,0.083,2510,0.083,410.0,EST827M050AL6(1)
50,63,1000,16 x 25,14,0.073,2555,0.073,500.0,EST108M050AM7(1)
50,63,1200,16 x 32,14,0.054,3010,0.054,600.0,EST128M050AM2(1)
50,63,1500,16 x 36,14,0.045,3150,0.045,750.0,EST158M050AM3(1)
50,63,1800,18 x 32,14,0.047,3635,0.047,900.0,EST188M050AN1(1)
50,63,2200,18 x 36,14,0.040,3680,0.04,1100.0,EST228M050AN2(1)
50,63,2700,18 x 40,14,0.036,3800,0.036,1350.0,EST278M050AN3(1)
63,79,10,5 x 11,14,2.300,55,2.3,6.3,EST106M063AC3(1)
63,79,33,6.3 x 11,14,1.200,115,1.2,20.8,EST336M063AE3(1)
63,79,56,8 x 11,14,0.630,232,0.63,35.3,EST566M063AG3(1)
63,79,120,10 x 15,14,0.310,357,0.31,75.6,EST127M063AH2(1)
63,79,120,10 x 16,14,0.310,357,0.31,75.6,EST127M063AH8(1)
63,79,180,10 x 20,14,0.210,466,0.21,113.4,EST187M063AH4(1)
63,79,220,10 x 25,14,0.200,531,0.2,138.6,EST227M063AH5(1)
63,79,270,10 x 30,14,0.150,663,0.15,170.1,EST277M063AH6(1)
63,79,270,13 x 20,14,0.160,690,0.16,170.1,EST277M063AL3(1)
63,79,330,13 x 25,14,0.120,784,0.12,207.9,EST337M063AL4(1)
63,79,470,13 x 30,14,0.100,905,0.1,296.1,EST477M063AL8(1)
63,79,560,13 x 35,14,0.083,1050,0.083,352.8,EST567M063AL6(1)
63,79,680,13 x 40,14,0.071,1180,0.071,428.4,EST687M063AL7(1)
63,79,820,16 x 32,14,0.054,1570,0.054,516.6,EST827M063AM2(1)
63,79,1000,16 x 36,14,0.045,1790,0.045,630.0,EST108M063AM3(1)
63,79,1200,16 x 40,14,0.040,2020,0.04,756.0,EST128M063AM4(1)
100,125,2.2,5 x 11,14,10.000,20,10,3.0,EST225M100AC3(1)
100,125,3.3,5 x 11,14,8.500,27,8.5,3.3,EST335M100AC3(1)
100,125,4.7,5 x 11,14,8.000,30,8,4.7,EST475M100AC3(1)
100,125,6.8,5 x 11,14,7.500,45,7.5,6.8,EST685M100AC3(1)
100,125,10,6.3 x 11,14,5.000,55,5,10.0,EST106M100AE3(1)
100,125,15,6.3 x 11,14,5.000,70,5,15.0,EST156M100AE3(1)
100,125,22,8 x 11,14,2.700,85,2.7,22.0,EST226M100AG3(1)
100,125,33,8 x 11,14,2.500,95,2.5,33.0,EST336M100AG3(1)
100,125,47,8 x 15,14,1.800,150,1.8,47.0,EST476M100AG4(1)
100,125,56,8 x 20,14,1.500,200,1.5,56.0,EST566M100AG6(1)
100,125,68,10 x 15,14,1.300,230,1.3,68.0,EST686M100AH2(1)
100,125,82,10 x 20,14,1.200,250,1.2,82.0,EST826M100AH4(1)
100,125,100,10 x 20,14,0.950,330,0.95,100.0,EST107M100AH4(1)
100,125,120,10 x 25,14,0.800,400,0.8,120.0,EST127M100AH5(1)
100,125,150,13 x 20,14,0.900,460,0.9,150.0,EST157M100AL3(1)
100,125,220,13 x 25,14,0.600,640,0.6,220.0,EST227M100AL4(1)
100,125,330,16 x 25,14,0.570,720,0.57,330.0,EST337M100AM7(1)
100,125,470,16 x 32,14,0.550,770,0.55,470.0,EST477M100AM2(1)
100,125,470,18 x 25,14,0.500,840,0.5,470.0,EST477M100AN5(1)
100,125,680,18 x 36,14,0.180,1400,0.18,680.0,EST687M100AN2(1)
100,125,820,18 x 40,14,0.130,1850,0.13,820.0,EST827M100AN3(1)
100,125,1000,18 x 40,14,0.130,1850,0.13,1000.0,EST108M100AN3(1)
