VDC,VDC Surge,Rated Capacitance,Case Size,DF,RC,LC,Part Number
16,20,6800,16 x 40,16,4080,1088.0,ESW688M016AM4(1)
16,20,8200,18 x 36,16,4220,1312.0,ESW828M016AN2(1)
16,20,10000,18 x 40,16,4280,1600.0,ESW109M016AN3(1)
25,32,47,5 x 11,14,210,11.8,ESW476M025AC3(1)
25,32,100,6.3 x 11,14,340,25.0,ESW107M025AE3(1)
25,32,150,8 x 11,14,640,37.5,ESW157M025AG3(1)
25,32,220,8 x 11,14,640,55.0,ESW227M025AG3(1)
25,32,330,8 x 15,14,840,82.5,ESW337M025AG4(1)
25,32,330,10 x 12.5,14,865,82.5,ESW337M025AH9(1)
25,32,470,8 x 20,14,1050,117.5,ESW477M025AG6(1)
25,32,470,*10 x 12.5,14,1050,117.5,ESW477M025AH9(1)
25,32,470,10 x 16,14,1210,117.5,ESW477M025AH8(1)
25,32,680,10 x 20,14,1400,170.0,ESW687M025AH4(1)
25,32,680,13 x 16,14,1450,170.0,ESW687M025AL2(1)
25,32,820,10 x 25,14,1650,205.0,ESW827M025AH5(1)
25,32,1000,10 x 30,14,1910,250.0,ESW108M025AH6(1)
25,32,1000,13 x 20,14,1900,250.0,ESW108M025AL3(1)
25,32,1000,16 x 16,14,1940,250.0,ESW108M025AM8(1)
25,32,1200,18 x 16,14,2210,300.0,ESW128M025AN6(1)
25,32,1500,*13 x 20,14,1900,375.0,ESW158M025AL3(1)
25,32,1500,13 x 25,14,2230,375.0,ESW158M025AL4(1)
25,32,1800,13 x 30,14,2650,450.0,ESW188M025AL8(1)
25,32,1800,16 x 20,14,2530,450.0,ESW188M025AM5(1)
25,32,2200,13 x 35,14,2880,550.0,ESW228M025AL6(1)
25,32,2200,18 x 20,14,2860,550.0,ESW228M025AN4(1)
25,32,2700,13 x 40,14,3350,675.0,ESW278M025AL7(1)
25,32,2700,16 x 25,14,2930,675.0,ESW278M025AM7(1)
25,32,3300,16 x 32,14,3450,825.0,ESW338M025AM2(1)
25,32,3300,18 x 25,14,3140,825.0,ESW338M025AN5(1)
25,32,3900,18 x 32,14,4170,975.0,ESW398M025AN1(1)
25,32,4700,18 x 36,14,4220,1175.0,ESW478M025AN2(1)
25,32,6800,18 x 40,14,4280,1700.0,ESW688M025AN3(1)
35,44,4.7,5 x 11,12,95,3.0,ESW475M035AC3(1)
35,44,10,5 x 11,12,130,3.5,ESW106M035AC3(1)
35,44,33,5 x 11,12,210,11.6,ESW336M035AC3(1)
35,44,47,6.3 x 11,12,275,16.5,ESW476M035AE3(1)
35,44,56,6.3 x 11,12,340,19.6,ESW566M035AE3(1)
35,44,68,6.3 x 15,12,500,23.8,ESW686M035AE4(1)
35,44,82,6.3 x 15,12,540,28.7,ESW826M035AE4(1)
35,44,100,8 x 11,12,580,35.0,ESW107M035AG3(1)
35,44,150,8 x 11,12,640,52.5,ESW157M035AG3(1)
35,44,220,*8 x 15,12,840,77.0,ESW227M035AG4(1)
35,44,220,10 x 12.5,12,865,77.0,ESW227M035AH9(1)
35,44,270,8 x 20,12,1050,94.5,ESW277M035AG6(1)
35,44,330,*10 x 16,12,1210,115.5,ESW337M035AH8(1)
35,44,330,10 x 20,12,1400,115.5,ESW337M035AH4(1)
35,44,470,10 x 20,12,1400,164.5,ESW477M035AH4(1)
35,44,470,13 x 16,12,1450,164.5,ESW477M035AL2(1)
35,44,560,10 x 25,12,1650,196.0,ESW567M035AH5(1)
35,44,680,10 x 30,12,1910,238.0,ESW687M035AH6(1)
35,44,680,13 x 20,12,1900,238.0,ESW687M035AL3(1)
35,44,680,16 x 16,12,1940,238.0,ESW687M035AM8(1)
35,44,820,13 x 20,12,1900,287.0,ESW827M035AL3(1)
35,44,1000,13 x 25,12,2230,350.0,ESW108M035AL4(1)
35,44,1000,18 x 16,12,2210,350.0,ESW108M035AN6(1)
35,44,1200,13 x 30,12,2650,420.0,ESW128M035AL8(1)
35,44,1200,16 x 20,12,2530,420.0,ESW128M035AM5(1)
35,44,1500,13 x 35,12,2880,525.0,ESW158M035AL6(1)
35,44,1800,13 x 40,12,3350,630.0,ESW188M035AL7(1)
35,44,1800,16 x 25,12,2930,630.0,ESW188M035AM7(1)
35,44,1800,18 x 20,12,2860,630.0,ESW188M035AN4(1)
35,44,2200,16 x 32,12,3450,770.0,ESW228M035AM2(1)
35,44,2200,18 x 25,12,3140,770.0,ESW228M035AN5(1)
35,44,2700,16 x 36,12,3610,945.0,ESW278M035AM3(1)
35,44,2700,18 x 32,12,4170,945.0,ESW278M035AN1(1)
35,44,3300,16 x 40,12,4080,1155.0,ESW338M035AM4(1)
35,44,3300,18 x 36,12,4220,1155.0,ESW338M035AN2(1)
35,44,4700,18 x 40,12,4280,1645.0,ESW478M035AN3(1)
50,63,2.2,5 x 11,10,85,3.0,ESW225M050AC3(1)
50,63,4.7,5 x 11,10,100,3.0,ESW475M050AC3(1)
50,63,10,5 x 11,10,135,5.0,ESW106M050AC3(1)
50,63,22,5 x 11,10,180,11.0,ESW226M050AC3(1)
50,63,33,6.3 x 11,10,245,16.5,ESW336M050AE3(1)
50,63,47,6.3 x 11,10,300,23.5,ESW476M050AE3(1)
50,63,56,6.3 x 15,10,295,28.0,ESW566M050AE4(1)
50,63,100,8 x 11,10,555,50.0,ESW107M050AG3(1)
50,63,120,8 x 15,10,730,60.0,ESW127M050AG4(1)
50,63,150,10 x 12.5,10,760,75.0,ESW157M050AH9(1)
50,63,180,8 x 20,10,910,90.0,ESW187M050AG6(1)
50,63,220,10 x 16,10,1050,110.0,ESW227M050AH8(1)
50,63,270,10 x 20,10,1220,135.0,ESW277M050AH4(1)
50,63,270,13 x 16,10,1260,135.0,ESW277M050AL2(1)
50,63,330,*10 x 20,10,1400,165.0,ESW337M050AH4(1)
50,63,330,10 x 25,10,1440,165.0,ESW337M050AH5(1)
50,63,470,10 x 30,10,1690,235.0,ESW477M050AH6(1)
50,63,470,13 x 20,10,1660,235.0,ESW477M050AL3(1)
50,63,470,16 x 16,10,1690,235.0,ESW477M050AM8(1)
50,63,560,13 x 25,10,1950,280.0,ESW567M050AL4(1)
50,63,560,18 x 16,10,1930,280.0,ESW567M050AN6(1)
50,63,680,13 x 30,10,2310,340.0,ESW687M050AL8(1)
50,63,820,13 x 35,10,2510,410.0,ESW827M050AL6(1)
50,63,820,16 x 20,10,2210,410.0,ESW827M050AM5(1)
50,63,1000,13 x 40,10,2920,500.0,ESW108M050AL7(1)
50,63,1000,16 x 25,10,2555,500.0,ESW108M050AM7(1)
50,63,1000,18 x 20,10,2490,500.0,ESW108M050AN4(1)
50,63,1200,16 x 32,10,3010,600.0,ESW128M050AM2(1)
50,63,1200,18 x 25,10,2740,600.0,ESW128M050AN5(1)
50,63,1500,16 x 36,10,3150,750.0,ESW158M050AM3(1)
50,63,1800,16 x 40,10,3710,900.0,ESW188M050AM4(1)
50,63,1800,18 x 32,10,3635,900.0,ESW188M050AN1(1)
50,63,2200,18 x 36,10,3680,1100.0,ESW228M050AN2(1)
63,79,15,5 x 11,9,55,9.5,ESW156M063AC3(1)
63,79,33,6.3 x 11,9,115,20.8,ESW336M063AE3(1)
63,79,56,8 x 12,9,232,35.3,ESW566M063AG9(1)
63,79,82,8 x 15,9,300,51.7,ESW826M063AG4(1)
63,79,82,10 x 12.5,9,288,51.7,ESW826M063AH9(1)
63,79,120,8 x 20,9,362,75.6,ESW127M063AG6(1)
63,79,120,10 x 16,9,357,75.6,ESW127M063AH8(1)
63,79,180,10 x 20,9,466,113.4,ESW187M063AH4(1)
63,79,180,13 x 16,9,466,113.4,ESW187M063AL2(1)
63,79,220,10 x 25,9,531,138.6,ESW227M063AH5(1)
63,79,270,10 x 30,9,663,170.1,ESW277M063AH6(1)
63,79,270,13 x 20,9,690,170.1,ESW277M063AL3(1)
63,79,270,16 x 16,9,795,170.1,ESW277M063AM8(1)
63,79,330,13 x 25,9,784,207.9,ESW337M063AL4(1)
63,79,390,18 x 16,9,920,245.7,ESW397M063AN6(1)
63,79,470,13 x 30,9,905,296.1,ESW477M063AL8(1)
63,79,470,16 x 20,9,1040,296.1,ESW477M063AM5(1)
63,79,560,13 x 35,9,1050,352.8,ESW567M063AL6(1)
63,79,560,16 x 25,9,1250,352.8,ESW567M063AM7(1)
63,79,680,13 x 40,9,1180,428.4,ESW687M063AL7(1)
63,79,680,18 x 20,9,1240,428.4,ESW687M063AN4(1)
63,79,820,16 x 32,9,1570,516.6,ESW827M063AM2(1)
63,79,820,18 x 25,9,1490,516.6,ESW827M063AN5(1)
63,79,1000,16 x 36,9,1790,630.0,ESW108M063AM3(1)
63,79,1000,18 x 32,9,1630,630.0,ESW108M063AN1(1)
63,79,1200,18 x 32,9,2020,756.0,ESW128M063AN1(1)
100,125,6.8,5 x 11,8,55,6.8,ESW685M100AC3(1)
100,125,15,6.3 x 11,8,115,15.0,ESW156M100AE3(1)
100,125,27,8 x 12,8,232,27.0,ESW276M100AG9(1)
100,125,39,8 x 15,8,300,39.0,ESW396M100AG4(1)
100,125,47,10 x 12.5,8,288,47.0,ESW476M100AH9(1)
100,125,56,8 x 20,8,362,56.0,ESW566M100AG6(1)
100,125,68,10 x 16,8,357,68.0,ESW686M100AH8(1)
100,125,82,10 x 20,8,466,82.0,ESW826M100AH4(1)
100,125,82,13 x 16,8,466,82.0,ESW826M100AL2(1)
100,125,100,10 x 25,8,531,100.0,ESW107M100AH5(1)
100,125,120,10 x 30,8,663,120.0,ESW127M100AH6(1)
100,125,120,13 x 20,8,690,120.0,ESW127M100AL3(1)
100,125,150,16 x 16,8,795,150.0,ESW157M100AM8(1)
100,125,180,13 x 25,8,784,180.0,ESW187M100AL4(1)
100,125,180,18 x 16,8,920,180.0,ESW187M100AN6(1)
100,125,220,13 x 30,8,905,220.0,ESW227M100AL8(1)
100,125,220,16 x 20,8,1040,220.0,ESW227M100AM5(1)
100,125,270,13 x 35,8,1050,270.0,ESW277M100AL6(1)
100,125,270,16 x 25,8,1250,270.0,ESW277M100AM7(1)
100,125,330,13 x 40,8,1180,330.0,ESW337M100AL7(1)
100,125,330,18 x 20,8,1240,330.0,ESW337M100AN4(1)
100,125,390,16 x 32,8,1570,390.0,ESW397M100AM2(1)
100,125,390,18 x 25,8,1490,390.0,ESW397M100AN5(1)
100,125,470,16 x 36,8,1790,470.0,ESW477M100AM3(1)
100,125,470,18 x 32,8,1630,470.0,ESW477M100AN1(1)
100,125,560,16 x 40,8,2020,560.0,ESW567M100AM4(1)
100,125,680,18 x 36,8,1790,680.0,ESW687M100AN2(1)
100,125,820,18 x 40,8,2330,820.0,ESW827M100AN3(1)
