Rated Voltage,Surge Voltage,Rated Capacitance,Case Size,DF,RC 105°C@120Hz,LC,Part Number
450,500,68,18 x 25,24,335,1846.0,ESG686M450AN5(1)
450,500,68,18 x 32,24,395,1846.0,ESG686M450AN1(1)
450,500,68,18 x 40,24,460,1846.0,ESG686M450AN3(1)
450,500,100,22 x 40,24,580,2710.0,ESG107M450AQ4(1)
500,550,4.7,10 x 20,24,70,151.0,ESG475M500AH4(1)
500,550,6.8,13 x 20,24,100,214.0,ESG685M500AL3(1)
500,550,10,13 x 25,24,130,310.0,ESG106M500AL4(1)
500,550,22,16 x 25,24,225,670.0,ESG226M500AM7(1)
500,550,22,18 x 20,24,220,670.0,ESG226M500AN4(1)
500,550,33,16 x 32,24,305,1000.0,ESG336M500AM2(1)
500,550,33,18 x 25,24,295,1000.0,ESG336M500AN5(1)
500,550,47,16 x 36,24,430,1420.0,ESG476M500AM3(1)
500,550,47,18 x 32,24,435,1420.0,ESG476M500AN1(1)
500,550,68,18 x 32,24,530,2050.0,ESG686M500AN1(1)
500,550,68,18 x 36,24,555,2050.0,ESG686M500AN2(1)
500,550,82,18 x 40,24,640,2470.0,ESG826M500AN3(1)
500,550,82,22 x 35,24,675,2470.0,ESG826M500AQ3(1)
500,550,100,22 x 35,24,746,3010.0,ESG107M500AQ3(1)
500,550,120,22 x 40,24,865,3610.0,ESG127M500AQ4(1)
500,550,150,22 x 45,24,1020,4510.0,ESG157M500AQ5(1)
