VDC,VDC Surge,Rated Capacitance,Case Size,DF,RC 105°C@100kHz,Z 20°C@100kHz,LC,Part Number
16,20,5600,16 x 36,16,3610,0.015,896.0,ETA568M016AM3(1)
16,20,5600,18 x 32,16,4170,0.015,896.0,ETA568M016AN1(1)
16,20,6800,16 x 40,16,4080,0.013,1088.0,ETA688M016AM4(1)
16,20,8200,18 x 36,16,4220,0.014,1312.0,ETA828M016AN2(1)
25,32,47,5 x 11,14,210,0.58,11.8,ETA476M025AC3(1)
25,32,100,6.3 x 11,14,340,0.22,25.0,ETA107M025AE3(1)
25,32,220,8 x 11,14,640,0.13,55.0,ETA227M025AG3(1)
25,32,330,8 x 15,14,840,0.087,82.5,ETA337M025AG4(1)
25,32,330,10 x 12.5,14,865,0.080,82.5,ETA337M025AH9(1)
25,32,470,8 x 20,14,1050,0.069,117.5,ETA477M025AG6(1)
25,32,470,10 x 15,14,1210,0.060,117.5,ETA477M025AH2(1)
25,32,680,10 x 20,14,1400,0.046,170.0,ETA687M025AH4(1)
25,32,680,13 x 16,14,1450,0.049,170.0,ETA687M025AL2(1)
25,32,820,10 x 25,14,1650,0.042,205.0,ETA827M025AH5(1)
25,32,1000,10 x 30,14,1910,0.031,250.0,ETA108M025AH6(1)
25,32,1000,13 x 20,14,1900,0.035,250.0,ETA108M025AL3(1)
25,32,1500,13 x 25,14,2230,0.027,375.0,ETA158M025AL4(1)
25,32,1800,13 x 30,14,2650,0.024,450.0,ETA188M025AL8(1)
25,32,1800,16 x 20,14,2530,0.027,450.0,ETA188M025AM5(1)
25,32,2200,13 x 35,14,2880,0.020,550.0,ETA228M025AL6(1)
25,32,2200,18 x 20,14,2860,0.026,550.0,ETA228M025AN4(1)
25,32,2700,13 x 40,14,3350,0.017,675.0,ETA278M025AL7(1)
25,32,2700,16 x 25,14,2930,0.021,675.0,ETA278M025AM7(1)
25,32,3300,16 x 32,14,3450,0.017,825.0,ETA338M025AM2(1)
25,32,3300,18 x 25,14,3140,0.019,825.0,ETA338M025AN5(1)
25,32,3900,16 x 36,14,3610,0.015,975.0,ETA398M025AM3(1)
25,32,3900,18 x 32,14,4170,0.015,975.0,ETA398M025AN1(1)
25,32,4700,16 x 40,14,4080,0.013,1175.0,ETA478M025AM4(1)
25,32,4700,18 x 36,14,4220,0.014,1175.0,ETA478M025AN2(1)
25,32,5600,18 x 40,14,4280,0.012,1400.0,ETA568M025AN3(1)
35,44,33,5 x 11,12,210,0.58,11.6,ETA336M035AC3(1)
35,44,56,6.3 x 11,12,340,0.22,19.6,ETA566M035AE3(1)
35,44,150,8 x 11,12,640,0.13,52.5,ETA157M035AG3(1)
35,44,220,8 x 15,12,840,0.087,77.0,ETA227M035AG4(1)
35,44,220,10 x 12.5,12,865,0.080,77.0,ETA227M035AH9(1)
35,44,270,8 x 20,12,1050,0.069,94.5,ETA277M035AG6(1)
35,44,330,10 x 15,12,1210,0.060,115.5,ETA337M035AH2(1)
35,44,470,10 x 20,12,1400,0.046,164.5,ETA477M035AH4(1)
35,44,470,13 x 16,12,1450,0.049,164.5,ETA477M035AL2(1)
35,44,560,10 x 25,12,1650,0.042,196.0,ETA567M035AH5(1)
35,44,680,10 x 30,12,1910,0.031,238.0,ETA687M035AH6(1)
35,44,680,13 x 20,12,1900,0.035,238.0,ETA687M035AL3(1)
35,44,1000,13 x 25,12,2230,0.027,350.0,ETA108M035AL4(1)
35,44,1200,13 x 30,12,2650,0.024,420.0,ETA128M035AL8(1)
35,44,1200,16 x 20,12,2530,0.027,420.0,ETA128M035AM5(1)
35,44,1500,13 x 35,12,2880,0.020,525.0,ETA158M035AL6(1)
35,44,1800,13 x 40,12,3350,0.017,630.0,ETA188M035AL7(1)
35,44,1800,16 x 25,12,2930,0.021,630.0,ETA188M035AM7(1)
35,44,1800,18 x 20,12,2860,0.026,630.0,ETA188M035AN4(1)
35,44,2200,16 x 32,12,3450,0.017,770.0,ETA228M035AM2(1)
35,44,2200,18 x 25,12,3140,0.019,770.0,ETA228M035AN5(1)
35,44,2700,16 x 36,12,3610,0.015,945.0,ETA278M035AM3(1)
35,44,2700,18 x 32,12,4170,0.015,945.0,ETA278M035AN1(1)
35,44,3300,16 x 40,12,4080,0.013,1155.0,ETA338M035AM4(1)
35,44,3300,18 x 36,12,4220,0.014,1155.0,ETA338M035AN2(1)
35,44,3900,18 x 40,12,4280,0.012,1365.0,ETA398M035AN3(1)
