Rated Voltage,Surge Voltage,Rated Capacitance,Case Size,DF,RC 105°C@100kHz,Z 20°C@100kHz,ESR 25°C@100kHz,LC,Part Number
25,32,"1,000.0",12 x 20,14,1420,0.091,0.091,320.0,ESX108M025AJH(1)
25,32,"1,000.0",12 x 25,14,1650,0.078,0.078,320.0,ESX108M025AJK(1)
25,32,"1,200.0",12 x 30,14,1700,0.070,0.070,384.0,ESX128M025AJM(1)
25,32,"1,500.0",12 x 30,14,1950,0.062,0.062,480.0,ESX158M025AJM(1)
25,32,"2,200.0",12 x 40,14,2240,0.054,0.054,704.0,ESX228M025AJS(1)
25,32,"3,300.0",16 x 36,14,2700,0.045,0.045,1056.0,ESX338M025AM3(1)
25,32,"3,900.0",18 x 36,14,2820,0.042,0.042,1248.0,ESX398M025AN2(1)
25,32,"4,700.0",18 x 40,14,3000,0.036,0.036,1504.0,ESX478M025AN3(1)
35,44,"6.8",4 x 7,12,20,7.700,7.700,3.0,ESX685M035AB2(1)
35,44,"6.8",5 x 11,12,31,5.200,5.200,3.0,ESX685M035AC3(1)
35,44,"10.0",5 x 11,12,42,3.100,3.100,4.4,ESX106M035AC3(1)
35,44,"22.0",5 x 11,12,101,1.300,1.300,9.7,ESX226M035AC3(1)
35,44,"33.0",6.3 x 11,12,151,0.870,0.870,14.5,ESX336M035AE3(1)
35,44,"47.0",5 x 11,12,216,0.870,0.870,20.7,ESX476M035AC3(1)
35,44,"68.0",8 x 11,12,312,0.370,0.370,29.9,ESX686M035AG3(1)
35,44,"100.0",10 x 12,12,460,0.320,0.320,44.0,ESX107M035AH1(1)
35,44,"100.0",8 x 11,12,370,0.390,0.390,44.0,ESX107M035AG3(1)
35,44,"120.0",10 x 12,12,550,0.260,0.260,52.8,ESX127M035AH1(1)
35,44,"150.0",10 x 12,12,600,0.230,0.230,66.0,ESX157M035AH1(1)
35,44,"220.0",10 x 12,12,690,0.210,0.210,96.8,ESX227M035AH1(1)
35,44,"220.0",10 x 15,12,800,0.180,0.180,96.8,ESX227M035AH2(1)
35,44,"330.0",10 x 20,12,1060,0.130,0.130,145.2,ESX337M035AH4(1)
35,44,"470.0",10 x 30,12,990,0.089,0.089,206.8,ESX477M035AH6(1)
35,44,"470.0",13 x 25,12,1060,0.086,0.086,206.8,ESX477M035AL4(1)
35,44,"560.0",12.5 x 20,12,1500,0.081,0.081,246.4,ESX567M035AK5(1)
35,44,"680.0",12 x 25,12,1650,0.070,0.070,299.2,ESX687M035AJK(1)
35,44,"820.0",12 x 30,12,1750,0.066,0.066,360.8,ESX827M035AJM(1)
35,44,"1,000.0",12 x 25,12,2000,0.061,0.061,440.0,ESX108M035AJK(1)
35,44,"1,200.0",12 x 35,12,2200,0.049,0.049,528.0,ESX128M035AJP(1)
35,44,"1,500.0",12 x 40,12,2350,0.046,0.046,660.0,ESX158M035AJS(1)
35,44,"2,200.0",16 x 36,12,2700,0.044,0.044,968.0,ESX228M035AM3(1)
35,44,"3,300.0",18 x 40,12,3050,0.035,0.035,1452.0,ESX338M035AN3(1)
50,63,"6.8",5 x 11,10,39,3.100,3.100,4.3,ESX685M050AC3(1)
50,63,"10.0",5 x 11,10,58,2.000,2.000,6.3,ESX106M050AC3(1)
50,63,"22.0",6.3 x 11,10,129,0.900,0.900,13.9,ESX226M050AE3(1)
50,63,"33.0",8 x 11,10,194,0.720,0.720,20.8,ESX336M050AG3(1)
50,63,"47.0",8 x 11,10,276,0.660,0.660,29.6,ESX476M050AG3(1)
50,63,"68.0",10 x 12,10,400,0.310,0.310,42.8,ESX686M050AH1(1)
50,63,"100.0",10 x 15,10,635,0.200,0.200,63.0,ESX107M050AH2(1)
50,63,"100.0",8 x 15,10,230,0.240,0.240,63.0,ESX107M050AG4(1)
50,63,"120.0",10 x 15,10,670,0.170,0.170,75.6,ESX127M050AH2(1)
50,63,"150.0",10 x 20,10,860,0.150,0.150,94.5,ESX157M050AH4(1)
50,63,"220.0",10 x 15,10,780,0.150,0.150,138.6,ESX227M050AH2(1)
50,63,"220.0",10 x 25,10,1030,0.110,0.110,138.6,ESX227M050AH5(1)
50,63,"330.0",10 x 30,10,1070,0.110,0.110,207.9,ESX337M050AH6(1)
50,63,"330.0",12 x 20,10,1220,0.092,0.092,207.9,ESX337M050AJH(1)
50,63,"330.0",13 x 25,10,1300,0.086,0.086,207.9,ESX337M050AL4(1)
50,63,"470.0",12 x 25,10,1500,0.068,0.068,296.1,ESX477M050AJK(1)
50,63,"680.0",12 x 35,10,1850,0.058,0.058,428.4,ESX687M050AJP(1)
50,63,"820.0",12 x 40,10,2020,0.052,0.052,516.6,ESX827M050AJS(1)
50,63,"1,000.0",16 x 25,10,1800,0.060,0.060,630.0,ESX108M050AM7(1)
50,63,"1,000.0",16 x 32,10,2120,0.050,0.050,630.0,ESX108M050AM2(1)
50,63,"1,200.0",16 x 36,10,2260,0.043,0.043,756.0,ESX128M050AM3(1)
50,63,"1,500.0",16 x 40,10,2420,0.035,0.035,945.0,ESX158M050AM4(1)
63,79,"4.7",5 x 11,9,36,4.600,4.600,3.7,ESX475M063AC3(1)
63,79,"6.8",5 x 11,9,52,4.300,4.300,5.4,ESX685M063AC3(1)
63,79,"10.0",5 x 11,9,77,2.000,2.000,7.9,ESX106M063AC3(1)
63,79,"15.0",6.3 x 11,9,116,1.400,1.400,11.9,ESX156M063AE3(1)
63,79,"22.0",8 x 11,9,170,1.200,1.200,17.4,ESX226M063AG3(1)
63,79,"33.0",8 x 11,9,256,0.660,0.660,26.1,ESX336M063AG3(1)
63,79,"47.0",10 x 12,9,365,0.560,0.560,37.1,ESX476M063AH1(1)
63,79,"68.0",10 x 15,9,500,0.360,0.360,53.7,ESX686M063AH2(1)
63,79,"100.0",10 x 15,9,750,0.310,0.310,79.0,ESX107M063AH2(1)
63,79,"120.0",10 x 20,9,820,0.270,0.270,94.8,ESX127M063AH4(1)
63,79,"150.0",10 x 25,9,950,0.200,0.200,118.5,ESX157M063AH5(1)
63,79,"220.0",12 x 25,9,1150,0.160,0.160,173.8,ESX227M063AJK(1)
63,79,"330.0",12 x 30,9,1360,0.140,0.140,260.7,ESX337M063AJM(1)
63,79,"330.0",13 x 25,9,1420,0.130,0.130,260.7,ESX337M063AL4(1)
63,79,"470.0",12 x 35,9,1780,0.091,0.091,371.3,ESX477M063AJP(1)
63,79,"680.0",16 x 32,9,2050,0.065,0.065,537.2,ESX687M063AM2(1)
63,79,"820.0",16 x 36,9,2200,0.056,0.056,647.8,ESX827M063AM3(1)
63,79,"1,000.0",18 x 36,9,2330,0.049,0.049,790.0,ESX108M063AN2(1)
63,79,"1,200.0",18 x 40,9,2520,0.046,0.046,948.0,ESX128M063AN3(1)
80,100,"4.7",5 x 11,8,43,4.200,4.200,4.7,ESX475M080AC3(1)
80,100,"6.8",5 x 11,8,62,1.900,1.900,6.8,ESX685M080AC3(1)
80,100,"10.0",6.3 x 11,8,92,1.400,1.400,10.0,ESX106M080AE3(1)
80,100,"15.0",8 x 11,8,138,1.100,1.100,15.0,ESX156M080AG3(1)
80,100,"22.0",8 x 11,8,203,0.640,0.640,22.0,ESX226M080AG3(1)
80,100,"33.0",10 x 12,8,305,0.540,0.540,33.0,ESX336M080AH1(1)
80,100,"47.0",10 x 15,8,410,0.360,0.360,47.0,ESX476M080AH2(1)
80,100,"68.0",10 x 20,8,600,0.260,0.260,68.0,ESX686M080AH4(1)
80,100,"100.0",10 x 25,8,795,0.190,0.190,100.0,ESX107M080AH5(1)
80,100,"120.0",10 x 30,8,900,0.170,0.170,120.0,ESX127M080AH6(1)
80,100,"150.0",10 x 30,8,955,0.150,0.150,150.0,ESX157M080AH6(1)
80,100,"220.0",12 x 30,8,1200,0.130,0.130,220.0,ESX227M080AJM(1)
80,100,"330.0",12 x 35,8,1450,0.088,0.088,330.0,ESX337M080AJP(1)
80,100,"470.0",16 x 32,8,1790,0.063,0.063,470.0,ESX477M080AM2(1)
80,100,"680.0",16 x 40,8,1990,0.058,0.058,680.0,ESX687M080AM4(1)
80,100,"820.0",18 x 36,8,2200,0.050,0.050,820.0,ESX827M080AN2(1)
80,100,"1,000.0",18 x 40,8,2370,0.044,0.044,1000.0,ESX108M080AN3(1)
100,125,"4.7",5 x 11,8,65,4.100,4.100,5.9,ESX475M100AC3(1)
100,125,"6.8",8 x 11,8,94,1.300,1.300,8.5,ESX685M100AG3(1)
100,125,"10.0",8 x 11,8,138,1.100,1.100,12.5,ESX106M100AG3(1)
100,125,"15.0",8 x 11,8,207,0.800,0.800,18.8,ESX156M100AG3(1)
100,125,"22.0",10 x 12,8,305,0.530,0.530,27.5,ESX226M100AH1(1)
100,125,"33.0",10 x 15,8,500,0.350,0.350,41.3,ESX336M100AH2(1)
100,125,"47.0",10 x 20,8,600,0.300,0.300,58.8,ESX476M100AH4(1)
100,125,"68.0",10 x 25,8,795,0.190,0.190,85.0,ESX686M100AH5(1)
100,125,"100.0",10 x 30,8,870,0.170,0.170,125.0,ESX107M100AH6(1)
100,125,"100.0",13 x 20,8,955,0.150,0.150,125.0,ESX107M100AL3(1)
100,125,"120.0",12 x 30,8,1040,0.130,0.130,150.0,ESX127M100AJM(1)
100,125,"150.0",12 x 30,8,1200,0.110,0.110,187.5,ESX157M100AJM(1)
100,125,"220.0",16 x 32,8,1440,0.086,0.086,275.0,ESX227M100AM2(1)
100,125,"330.0",16 x 32,8,1610,0.070,0.070,412.5,ESX337M100AM2(1)
100,125,"330.0",16 x 36,8,1790,0.062,0.062,412.5,ESX337M100AM3(1)
100,125,"470.0",16 x 40,8,2160,0.048,0.048,587.5,ESX477M100AM4(1)
100,125,"470.0",18 x 36,8,2200,0.047,0.047,587.5,ESX477M100AN2(1)
