VDC,VDC Surge,Rated Capacitance,Case Size,DF,Z 20°C@100kHz,RC 105°C@100kHz,LC,Part Number
10,13,1000,10 x 20,19,0.050,1100,100.0,ESC108M010AH4(1)
10,13,1200,10 x 20,19,0.044,1250,120.0,ESC128M010AH4(1)
10,13,1500,10 x 20,19,0.039,1450,150.0,ESC158M010AH4(1)
10,13,2200,10 x 20,19,0.047,1330,220.0,ESC228M010AH4(1)
10,13,2200,10 x 25,19,0.039,1450,220.0,ESC228M010AH5(1)
10,13,2200,13 x 20,19,0.038,1600,220.0,ESC228M010AL3(1)
10,13,3300,10 x 30,19,0.032,2000,330.0,ESC338M010AH6(1)
10,13,3300,13 x 25,19,0.028,2000,330.0,ESC338M010AL4(1)
10,13,4700,13 x 25,19,0.028,1860,470.0,ESC478M010AL4(1)
10,13,4700,16 x 25,19,0.024,2200,470.0,ESC478M010AM7(1)
10,13,6800,16 x 36,19,0.019,2550,680.0,ESC688M010AM3(1)
10,13,8200,18 x 36,19,0.019,2800,820.0,ESC828M010AN2(1)
16,20,56,5 x 11,16,0.630,100,9.0,ESC566M016AC3(1)
16,20,68,5 x 11,16,0.420,150,10.9,ESC686M016AC3(1)
16,20,100,5 x 11,16,0.370,200,16.0,ESC107M016AC3(1)
16,20,120,6.3 x 11,16,0.320,250,19.2,ESC127M016AE3(1)
16,20,150,6.3 x 11,16,0.220,300,24.0,ESC157M016AE3(1)
16,20,220,8 x 11,16,0.140,550,35.2,ESC227M016AG3(1)
16,20,330,8 x 11,16,0.120,550,52.8,ESC337M016AG3(1)
16,20,330,8 x 15,16,0.100,750,52.8,ESC337M016AG4(1)
16,20,330,10 x 12.5,16,0.080,688,52.8,ESC337M016AH9(1)
16,20,470,8 x 15,16,0.093,730,75.2,ESC477M016AG4(1)
16,20,470,10 x 12.5,16,0.085,800,75.2,ESC477M016AH9(1)
16,20,680,10 x 16,16,0.064,1050,108.8,ESC687M016AH8(1)
16,20,820,10 x 20,16,0.044,1100,131.2,ESC827M016AH4(1)
16,20,1000,10 x 16,16,0.043,1140,160.0,ESC108M016AH8(1)
16,20,1000,10 x 20,16,0.039,1250,160.0,ESC108M016AH4(1)
16,20,1200,10 x 25,16,0.042,1310,192.0,ESC128M016AH5(1)
16,20,1200,13 x 20,16,0.038,1450,192.0,ESC128M016AL3(1)
16,20,1500,10 x 20,16,0.045,1200,240.0,ESC158M016AH4(1)
16,20,1500,13 x 20,16,0.034,1600,240.0,ESC158M016AL3(1)
16,20,2200,10 x 30,16,0.032,1780,352.0,ESC228M016AH6(1)
16,20,2200,13 x 20,16,0.033,1720,352.0,ESC228M016AL3(1)
16,20,2200,13 x 25,16,0.028,2000,352.0,ESC228M016AL4(1)
16,20,3300,13 x 40,16,0.026,2200,528.0,ESC338M016AL7(1)
16,20,3300,16 x 25,16,0.024,2200,528.0,ESC338M016AM7(1)
16,20,4700,16 x 36,16,0.019,2550,752.0,ESC478M016AM3(1)
16,20,6800,18 x 36,16,0.019,2800,1088.0,ESC688M016AN2(1)
25,32,10,5 x 11,14,0.550,50,3.0,ESC106M025AC3(1)
25,32,47,5 x 11,14,0.450,150,11.8,ESC476M025AC3(1)
25,32,56,5 x 11,14,0.420,150,14.0,ESC566M025AC3(1)
25,32,68,6.3 x 11,14,0.370,200,17.0,ESC686M025AE3(1)
25,32,100,6.3 x 11,14,0.220,250,25.0,ESC107M025AE3(1)
25,32,120,8 x 11,14,0.200,300,30.0,ESC127M025AG3(1)
25,32,150,8 x 11,14,0.140,550,37.5,ESC157M025AG3(1)
25,32,220,8 x 11,14,0.120,550,55.0,ESC227M025AG3(1)
25,32,220,8 x 15,14,0.100,750,55.0,ESC227M025AG4(1)
25,32,330,8 x 15,14,0.100,660,82.5,ESC337M025AG4(1)
25,32,330,8 x 20,14,0.069,800,82.5,ESC337M025AG6(1)
25,32,330,10 x 16,14,0.086,900,82.5,ESC337M025AH8(1)
25,32,470,8 x 20,14,0.067,800,117.5,ESC477M025AG6(1)
25,32,470,10 x 16,14,0.064,1050,117.5,ESC477M025AH8(1)
25,32,470,10 x 12.5,14,0.086,760,117.5,ESC477M025AH9(1)
25,32,680,10 x 20,14,0.039,1100,170.0,ESC687M025AH4(1)
25,32,820,10 x 20,14,0.039,1250,205.0,ESC827M025AH4(1)
25,32,1000,10 x 20,14,0.047,1160,250.0,ESC108M025AH4(1)
25,32,1000,10 x 25,14,0.042,1310,250.0,ESC108M025AH5(1)
25,32,1000,13 x 20,14,0.038,1450,250.0,ESC108M025AL3(1)
25,32,1200,13 x 25,14,0.035,1600,300.0,ESC128M025AL4(1)
25,32,1500,13 x 30,14,0.032,1750,375.0,ESC158M025AL8(1)
25,32,1500,16 x 25,14,0.028,2000,375.0,ESC158M025AM7(1)
25,32,2200,13 x 30,14,0.029,1810,550.0,ESC228M025AL8(1)
25,32,2200,16 x 25,14,0.032,1660,550.0,ESC228M025AM7(1)
25,32,2200,16 x 32,14,0.024,2200,550.0,ESC228M025AM2(1)
25,32,3300,16 x 36,14,0.019,2540,825.0,ESC338M025AM3(1)
25,32,3300,18 x 36,14,0.019,2550,825.0,ESC338M025AN2(1)
25,32,4700,18 x 36,14,0.019,2800,1175.0,ESC478M025AN2(1)
25,32,6800,18 x 36,14,0.019,2800,1700.0,ESC688M025AN2(1)
35,44,4.7,5 x 11,12,1.200,115,3.0,ESC475M035AC3(1)
35,44,6.8,5 x 11,12,1.000,120,3.0,ESC685M035AC3(1)
35,44,10,5 x 11,12,0.900,140,3.5,ESC106M035AC3(1)
35,44,15,5 x 11,12,0.690,170,5.3,ESC156M035AC3(1)
35,44,22,5 x 11,12,0.600,190,7.7,ESC226M035AC3(1)
35,44,33,5 x 11,12,0.580,200,11.6,ESC336M035AC3(1)
35,44,47,6.3 x 11,12,0.039,250,16.5,ESC476M035AE3(1)
35,44,68,6.3 x 11,12,0.220,300,23.8,ESC686M035AE3(1)
35,44,100,6.3 x 11,12,0.180,300,35.0,ESC107M035AE3(1)
35,44,100,8 x 11,12,0.140,450,35.0,ESC107M035AG3(1)
35,44,120,8 x 11,12,0.130,550,42.0,ESC127M035AG3(1)
35,44,150,8 x 15,12,0.100,650,52.5,ESC157M035AG4(1)
35,44,220,8 x 15,12,0.100,650,77.0,ESC227M035AG4(1)
35,44,220,10 x 12.5,12,0.069,800,77.0,ESC227M035AH9(1)
35,44,330,10 x 16,12,0.052,900,115.5,ESC337M035AH8(1)
35,44,330,10 x 20,12,0.044,1050,115.5,ESC337M035AH4(1)
35,44,470,10 x 20,12,0.039,1300,164.5,ESC477M035AH4(1)
35,44,680,13 x 20,12,0.038,1400,238.0,ESC687M035AL3(1)
35,44,820,13 x 20,12,0.034,1550,287.0,ESC827M035AL3(1)
35,44,1000,13 x 25,12,0.029,1700,350.0,ESC108M035AL4(1)
35,44,1200,16 x 25,12,0.028,1900,420.0,ESC128M035AM7(1)
35,44,1500,16 x 25,12,0.024,2100,525.0,ESC158M035AM7(1)
35,44,2200,16 x 32,12,0.021,2300,770.0,ESC228M035AM2(1)
35,44,2200,16 x 36,12,0.019,2550,770.0,ESC228M035AM3(1)
35,44,3300,18 x 36,12,0.019,2800,1155.0,ESC338M035AN2(1)
50,63,4.7,5 x 11,10,2.000,115,3.0,ESC475M050AC3(1)
50,63,6.8,5 x 11,10,1.850,120,3.4,ESC685M050AC3(1)
50,63,10,5 x 11,10,1.700,140,5.0,ESC106M050AC3(1)
50,63,15,5 x 11,10,1.200,180,7.5,ESC156M050AC3(1)
50,63,22,5 x 11,10,0.700,200,11.0,ESC226M050AC3(1)
50,63,33,6.3 x 11,10,0.600,250,16.5,ESC336M050AE3(1)
50,63,47,6.3 x 11,10,0.520,300,23.5,ESC476M050AE3(1)
50,63,68,8 x 11,10,0.350,450,34.0,ESC686M050AG3(1)
50,63,100,8 x 11,10,0.290,450,50.0,ESC107M050AG3(1)
50,63,100,8 x 15,10,0.250,550,50.0,ESC107M050AG4(1)
50,63,120,8 x 20,10,0.210,650,60.0,ESC127M050AG6(1)
50,63,150,10 x 12.5,10,0.160,800,75.0,ESC157M050AH9(1)
50,63,220,10 x 16,10,0.100,1050,110.0,ESC227M050AH8(1)
50,63,220,10 x 25,10,0.068,1050,110.0,ESC227M050AH5(1)
50,63,330,10 x 20,10,0.072,1300,165.0,ESC337M050AH4(1)
50,63,470,10 x 20,10,0.075,1390,235.0,ESC477M050AH4(1)
50,63,470,13 x 20,10,0.060,1400,235.0,ESC477M050AL3(1)
50,63,680,13 x 25,10,0.050,1550,340.0,ESC687M050AL4(1)
50,63,820,16 x 25,10,0.040,1700,410.0,ESC827M050AM7(1)
50,63,1000,16 x 25,10,0.039,1900,500.0,ESC108M050AM7(1)
50,63,1200,16 x 32,10,0.025,2100,600.0,ESC128M050AM2(1)
50,63,1500,16 x 36,10,0.025,2550,750.0,ESC158M050AM3(1)
50,63,2200,18 x 40,10,0.025,2800,1100.0,ESC228M050AN3(1)
63,79,4.7,5 x 11,9,2.200,115,3.0,ESC475M063AC3(1)
63,79,6.8,5 x 11,9,2.000,120,4.3,ESC685M063AC3(1)
63,79,10,5 x 11,9,1.850,140,6.3,ESC106M063AC3(1)
63,79,15,5 x 11,9,1.700,200,9.5,ESC156M063AC3(1)
63,79,22,6.3 x 11,9,1.200,250,13.9,ESC226M063AE3(1)
63,79,33,6.3 x 11,9,0.900,300,20.8,ESC336M063AE3(1)
63,79,47,6.3 x 11,9,0.900,300,29.6,ESC476M063AE3(1)
63,79,47,8 x 11,9,0.700,450,29.6,ESC476M063AG3(1)
63,79,68,8 x 11,9,0.520,550,42.8,ESC686M063AG3(1)
63,79,100,8 x 20,9,0.350,650,63.0,ESC107M063AG6(1)
63,79,120,10 x 16,9,0.300,800,75.6,ESC127M063AH8(1)
63,79,150,10 x 16,9,0.200,1050,94.5,ESC157M063AH8(1)
63,79,220,10 x 20,9,0.150,1300,138.6,ESC227M063AH4(1)
63,79,330,13 x 20,9,0.100,1400,207.9,ESC337M063AL3(1)
63,79,470,13 x 25,9,0.064,1550,296.1,ESC477M063AL4(1)
63,79,680,16 x 25,9,0.052,1700,428.4,ESC687M063AM7(1)
63,79,820,16 x 32,9,0.048,1900,516.6,ESC827M063AM2(1)
63,79,1000,16 x 32,9,0.042,2100,630.0,ESC108M063AM2(1)
63,79,1200,16 x 36,9,0.036,2550,756.0,ESC128M063AM3(1)
63,79,1500,18 x 36,9,0.033,2800,945.0,ESC158M063AN2(1)
100,125,4.7,5 x 11,8,2.000,120,4.7,ESC475M100AC3(1)
100,125,6.8,5 x 11,8,1.850,140,6.8,ESC685M100AC3(1)
100,125,10,6.3 x 11,8,1.500,200,10.0,ESC106M100AE3(1)
100,125,15,6.3 x 11,8,1.200,250,15.0,ESC156M100AE3(1)
100,125,22,8 x 11,8,0.790,300,22.0,ESC226M100AG3(1)
100,125,33,8 x 15,8,0.590,450,33.0,ESC336M100AG4(1)
100,125,47,10 x 16,8,0.350,550,47.0,ESC476M100AH8(1)
100,125,68,10 x 20,8,0.240,650,68.0,ESC686M100AH4(1)
100,125,100,13 x 20,8,0.180,800,100.0,ESC107M100AL3(1)
100,125,120,13 x 25,8,0.150,1050,120.0,ESC127M100AL4(1)
100,125,150,13 x 25,8,0.110,1300,150.0,ESC157M100AL4(1)
100,125,220,16 x 25,8,0.071,1400,220.0,ESC227M100AM7(1)
100,125,330,16 x 32,8,0.049,1550,330.0,ESC337M100AM2(1)
100,125,470,18 x 36,8,0.038,1700,470.0,ESC477M100AN2(1)
