VDC,VDC Surge Voltage,Rated Capacitance 120 Hz 20°C (µF),Case Size D x L (mm),DF 120 Hz 20°C (tan δ %)*,RC 100 kHz 105°C (mA),ESR 100 kHz 20°C (Ω),LC 20°C 2 Minutes (µA),Part Number
16,20,2700.0,12.5x25,18,2710,0.017,432.0,ESL278M016AK1(1)
16,20,3300.0,12.5x30,20,2960,0.014,528.0,ESL338M016AK2(1)
16,20,3300.0,16x20,20,2960,0.017,528.0,ESL338M016AM5AA
16,20,3900.0,12.5x30,20,3060,0.014,624.0,ESL398M016AK2(1)
16,20,3900.0,16x20,20,3060,0.017,624.0,ESL398M016AM5AA
16,20,4700.0,12.5x35,22,3280,0.013,752.0,ESL478M016AK3(1)
16,20,4700.0,16x25,22,3240,0.014,752.0,ESL478M016AM7AA
16,20,5600.0,16x30,24,3700,0.012,896.0,ESL568M016AM9AA
16,20,5600.0,18x25,24,3660,0.013,896.0,ESL568M016AN5AA
16,20,6800.0,16x30,26,3900,0.012,1088.0,ESL688M016AM9AA
16,20,6800.0,18x25,26,3860,0.013,1088.0,ESL688M016AN5AA
25,32,10.0,5x11,14,160,0.95,3.0,ESL106M025AC3(1)
25,32,15.0,5x11,14,170,0.95,3.8,ESL156M025AC3(1)
25,32,22.0,5x11,14,185,0.36,5.5,ESL226M025AC3(1)
25,32,33.0,5x11,14,200,0.36,8.3,ESL336M025AC3(1)
25,32,39.0,5x11,14,225,0.36,9.8,ESL396M025AC3(1)
25,32,47.0,5x11,14,315,0.23,11.8,ESL476M025AC3(1)
25,32,56.0,5x11,14,335,0.23,14.0,ESL566M025AC3(1)
25,32,68.0,5x11,14,355,0.23,17.0,ESL686M025AC3(1)
25,32,100.0,6.3x11,14,485,0.098,25.0,ESL107M025AE3(1)
25,32,120.0,6.3x11,14,525,0.098,30.0,ESL127M025AE3(1)
25,32,150.0,6.3x11,14,555,0.098,37.5,ESL157M025AE3(1)
25,32,180.0,8x11.5,14,875,0.061,45.0,ESL187M025AGM(1)
25,32,220.0,8x11.5,14,905,0.061,55.0,ESL227M025AGM(1)
25,32,270.0,8x11.5,14,965,0.061,67.5,ESL277M025AGM(1)
25,32,330.0,8x11.5,14,965,0.061,82.5,ESL337M025AGM(1)
25,32,390.0,10x12.5,14,1340,0.043,97.5,ESL397M025AH9(1)
25,32,390.0,8x16,14,1280,0.049,97.5,ESL397M025AG8(1)
25,32,470.0,10x12.5,14,1325,0.043,117.5,ESL477M025AH9(1)
25,32,560.0,10x16,14,1770,0.031,140.0,ESL567M025AH8(1)
25,32,560.0,8x20,14,1540,0.031,140.0,ESL567M025AG6(1)
25,32,680.0,10x16,14,1770,0.031,170.0,ESL687M025AH8(1)
25,32,820.0,10x20,14,2010,0.02,205.0,ESL827M025AH4(1)
25,32,820.0,12.5x15,14,2010,0.02,205.0,ESL827M025AK7(1)
25,32,1000.0,10x25,14,2260,0.02,250.0,ESL108M025AH5(1)
25,32,1000.0,12.5x20,14,2260,0.019,250.0,ESL108M025AK5(1)
25,32,1200.0,12.5x20,14,2370,0.019,300.0,ESL128M025AK5(1)
25,32,1500.0,12.5x20,14,2490,0.019,375.0,ESL158M025AK5(1)
25,32,1800.0,12.5x25,14,2910,0.017,450.0,ESL188M025AK1(1)
25,32,2200.0,12.5x30,16,3460,0.014,550.0,ESL228M025AK2(1)
25,32,2200.0,16x20,16,3260,0.017,550.0,ESL228M025AM5AA
25,32,2700.0,12.5x35,16,3580,0.013,675.0,ESL278M025AK3(1)
25,32,2700.0,16x25,16,3640,0.014,675.0,ESL278M025AM7AA
25,32,3300.0,12.5x40,18,3900,0.012,825.0,ESL338M025AK4(1)
25,32,3300.0,16x25,18,3640,0.014,825.0,ESL338M025AM7AA
25,32,3900.0,16x30,18,3900,0.012,975.0,ESL398M025AM9AA
25,32,3900.0,18x25,18,3660,0.013,975.0,ESL398M025AN5AA
25,32,4700.0,16x35,20,3840,0.011,1175.0,ESL478M025AMPAA
25,32,4700.0,18x30,20,4020,0.011,1175.0,ESL478M025AN8AA
25,32,5600.0,18x35,22,4090,0.01,1400.0,ESL568M025ANAAA
25,32,6800.0,18x40,24,4160,0.01,1700.0,ESL688M025AN3AA
35,44,10.0,5x11,12,165,1.35,3.5,ESL106M035AC3(1)
35,44,15.0,5x11,12,175,0.95,5.3,ESL156M035AC3(1)
35,44,22.0,5x11,12,195,0.95,7.7,ESL226M035AC3(1)
35,44,33.0,5x11,12,205,0.36,11.6,ESL336M035AC3(1)
35,44,39.0,5x11,12,245,0.36,13.7,ESL396M035AC3(1)
35,44,47.0,5x11,12,345,0.23,16.5,ESL476M035AC3(1)
35,44,56.0,6.3x11,12,480,0.15,19.6,ESL566M035AE3(1)
35,44,68.0,6.3x11,12,520,0.13,23.8,ESL686M035AE3(1)
35,44,100.0,6.3x11,12,545,0.085,35.0,ESL107M035AE3(1)
35,44,120.0,8x11.5,12,780,0.078,42.0,ESL127M035AGM(1)
35,44,150.0,8x11.5,12,840,0.072,52.5,ESL157M035AGM(1)
35,44,180.0,8x11.5,12,965,0.068,63.0,ESL187M035AGM(1)
35,44,220.0,10x12.5,12,1180,0.043,77.0,ESL227M035AH9(1)
35,44,220.0,8x16,12,1020,0.048,77.0,ESL227M035AG8(1)
35,44,270.0,10x12.5,12,1210,0.043,94.5,ESL277M035AH9(1)
35,44,270.0,8x16,12,1050,0.048,94.5,ESL277M035AG8(1)
35,44,330.0,10x12.5,12,1340,0.043,115.5,ESL337M035AH9(1)
35,44,390.0,10x16,12,1650,0.03,136.5,ESL397M035AH8(1)
35,44,390.0,8x20,12,1520,0.03,136.5,ESL397M035AG6(1)
35,44,470.0,10x16,12,1755,0.03,164.5,ESL477M035AH8(1)
35,44,560.0,10x20,12,1970,0.03,196.0,ESL567M035AH4(1)
35,44,560.0,12.5x15,12,2340,0.025,196.0,ESL567M035AK7(1)
35,44,680.0,10x25,12,2260,0.024,238.0,ESL687M035AH5(1)
35,44,680.0,12.5x20,12,2360,0.024,238.0,ESL687M035AK5(1)
35,44,820.0,12.5x20,12,2490,0.024,287.0,ESL827M035AK5(1)
35,44,1000.0,12.5x20,12,2490,0.024,350.0,ESL108M035AK5(1)
35,44,1200.0,12.5x25,12,2910,0.023,420.0,ESL128M035AK1(1)
35,44,1500.0,12.5x30,12,3460,0.014,525.0,ESL158M035AK2(1)
35,44,1500.0,16x20,12,3260,0.022,525.0,ESL158M035AM5AA
35,44,1800.0,12.5x35,12,3470,0.012,630.0,ESL188M035AK3(1)
35,44,1800.0,16x25,12,3580,0.021,630.0,ESL188M035AM7AA
35,44,2200.0,16x25,14,3640,0.02,770.0,ESL228M035AM7AA
35,44,2700.0,16x30,14,3540,0.011,945.0,ESL278M035AM9AA
35,44,2700.0,18x25,14,3650,0.011,945.0,ESL278M035AN5AA
35,44,3300.0,18x35,16,4090,0.01,1155.0,ESL338M035ANAAA
35,44,3900.0,18x40,16,4160,0.01,1365.0,ESL398M035AN3AA
50,63,10.0,5x11,10,185,1.35,5.0,ESL106M050AC3(1)
50,63,15.0,5x11,10,195,1.35,7.5,ESL156M050AC3(1)
50,63,22.0,5x11,10,240,0.55,11.0,ESL226M050AC3(1)
50,63,33.0,6.3x11,10,400,0.32,16.5,ESL336M050AE3(1)
50,63,39.0,6.3x11,10,400,0.23,19.5,ESL396M050AE3(1)
50,63,47.0,6.3x11,10,420,0.23,23.5,ESL476M050AE3(1)
50,63,56.0,6.3x11,10,385,0.12,28.0,ESL566M050AE3(1)
50,63,68.0,8x11.5,10,640,0.135,34.0,ESL686M050AGM(1)
50,63,100.0,8x11.5,10,725,0.12,50.0,ESL107M050AGM(1)
50,63,120.0,8x16,10,975,0.061,60.0,ESL127M050AG8(1)
50,63,150.0,8x16,10,975,0.061,75.0,ESL157M050AG8(1)
50,63,180.0,10x16,10,1380,0.046,90.0,ESL187M050AH8(1)
50,63,220.0,10x16,10,1380,0.042,110.0,ESL227M050AH8(1)
50,63,220.0,8x20,10,1320,0.041,110.0,ESL227M050AG6(1)
50,63,270.0,10x20,10,1590,0.036,135.0,ESL277M050AH4(1)
50,63,270.0,12.5x15,10,1762,0.038,135.0,ESL277M050AK7(1)
50,63,330.0,10x25,10,1650,0.036,165.0,ESL337M050AH5(1)
50,63,390.0,10x25,10,1880,0.031,195.0,ESL397M050AH5(1)
50,63,390.0,12.5x20,10,2060,0.03,195.0,ESL397M050AK5(1)
50,63,470.0,12.5x20,10,2050,0.03,235.0,ESL477M050AK5(1)
50,63,560.0,12.5x25,10,2420,0.02,280.0,ESL567M050AK1(1)
50,63,680.0,12.5x30,10,2860,0.021,340.0,ESL687M050AK2(1)
50,63,820.0,12.5x30,10,2870,0.022,410.0,ESL827M050AK2(1)
50,63,1000.0,12.5x35,10,3050,0.018,500.0,ESL108M050AK3(1)
50,63,1000.0,16x25,10,3010,0.02,500.0,ESL108M050AM7AA
50,63,1200.0,16x30,10,3290,0.018,600.0,ESL128M050AM9AA
50,63,1200.0,18x25,10,3070,0.025,600.0,ESL128M050AN5AA
50,63,1500.0,16x35,10,3050,0.018,750.0,ESL158M050AMPAA
50,63,1500.0,18x25,10,3310,0.023,750.0,ESL158M050AN5AA
50,63,1800.0,16x40,10,3440,0.016,900.0,ESL188M050AM4AA
50,63,1800.0,18x35,10,3520,0.021,900.0,ESL188M050ANAAA
50,63,2200.0,18x35,12,3580,0.021,1100.0,ESL228M050ANAAA
63,79,0.47,5x11,9,80,1.35,3.0,ESL474M063AC3(1)
63,79,1.0,5x11,9,95,1.35,3.0,ESL105M063AC3(1)
63,79,1.8,5x11,9,95,1.35,3.0,ESL185M063AC3(1)
63,79,2.2,5x11,9,105,1.35,3.0,ESL225M063AC3(1)
63,79,2.7,5x11,9,105,1.35,3.0,ESL275M063AC3(1)
63,79,3.3,5x11,9,115,1.35,3.0,ESL335M063AC3(1)
63,79,3.9,5x11,9,115,1.35,3.0,ESL395M063AC3(1)
63,79,4.7,5x11,9,120,1.35,3.0,ESL475M063AC3(1)
63,79,5.6,5x11,9,135,1.35,3.5,ESL565M063AC3(1)
63,79,6.8,5x11,9,135,1.35,4.3,ESL685M063AC3(1)
63,79,8.2,5x11,9,145,1.35,5.2,ESL825M063AC3(1)
63,79,10.0,5x11,9,145,1.35,6.3,ESL106M063AC3(1)
63,79,12.0,5x11,9,155,1.35,7.6,ESL126M063AC3(1)
63,79,15.0,5x11,9,165,1.35,9.5,ESL156M063AC3(1)
63,79,18.0,6.3x11,9,265,0.38,11.3,ESL186M063AE3(1)
63,79,22.0,6.3x11,9,295,0.38,13.9,ESL226M063AE3(1)
63,79,27.0,6.3x11,9,305,0.38,17.0,ESL276M063AE3(1)
63,79,33.0,6.3x11,9,335,0.38,20.8,ESL336M063AE3(1)
63,79,39.0,8x11.5,9,420,0.23,24.6,ESL396M063AGM(1)
63,79,47.0,8x11.5,9,435,0.23,29.6,ESL476M063AGM(1)
63,79,56.0,8x11.5,9,445,0.23,35.3,ESL566M063AGM(1)
63,79,68.0,8x11.5,9,460,0.23,42.8,ESL686M063AGM(1)
63,79,82.0,8x16,9,560,0.17,51.7,ESL826M063AG8(1)
63,79,100.0,10x12.5,9,570,0.17,63.0,ESL107M063AH9(1)
63,79,100.0,8x16,9,580,0.17,63.0,ESL107M063AG8(1)
63,79,120.0,10x12.5,9,580,0.17,75.6,ESL127M063AH9(1)
63,79,150.0,10x16,9,705,0.19,94.5,ESL157M063AH8(1)
63,79,150.0,8x20,9,680,0.12,94.5,ESL157M063AG6(1)
63,79,180.0,10x16,9,725,0.19,113.4,ESL187M063AH8(1)
63,79,220.0,10x20,9,1050,0.086,138.6,ESL227M063AH4(1)
63,79,220.0,12.5x15,9,1020,0.08,138.6,ESL227M063AK7(1)
63,79,270.0,10x20,9,1080,0.086,170.1,ESL277M063AH4(1)
63,79,270.0,12.5x15,9,1045,0.08,170.1,ESL277M063AK7(1)
63,79,330.0,10x25,9,1250,0.076,207.9,ESL337M063AH5(1)
63,79,330.0,12.5x20,9,1320,0.066,207.9,ESL337M063AK5(1)
63,79,390.0,12.5x20,9,1350,0.066,245.7,ESL397M063AK5(1)
63,79,470.0,12.5x25,9,1860,0.047,296.1,ESL477M063AK1(1)
63,79,560.0,12.5x30,9,2050,0.039,352.8,ESL567M063AK2(1)
63,79,560.0,16x20,9,1980,0.047,352.8,ESL567M063AM5AA
63,79,680.0,12.5x35,9,2250,0.036,428.4,ESL687M063AK3(1)
63,79,680.0,16x25,9,2315,0.035,428.4,ESL687M063AM7AA
63,79,820.0,12.5x40,9,2430,0.03,516.6,ESL827M063AK4(1)
63,79,820.0,16x25,9,2480,0.035,516.6,ESL827M063AM7AA
63,79,1000.0,16x30,9,2620,0.026,630.0,ESL108M063AM9AA
63,79,1200.0,16x30,9,2650,0.026,756.0,ESL128M063AM9AA
63,79,1200.0,18x25,9,2610,0.034,756.0,ESL128M063AN5AA
63,79,1500.0,16x35,9,2730,0.023,945.0,ESL158M063AMPAA
63,79,1500.0,18x30,9,2780,0.028,945.0,ESL158M063AN8AA
63,79,1800.0,16x40,9,3250,0.021,1134.0,ESL188M063AM4AA
63,79,2200.0,18x40,11,3430,0.028,1386.0,ESL228M063AN3AA
100,125,0.47,5x11,9,95,1.85,3.0,ESL474M100AC3(1)
100,125,1.0,5x11,9,105,1.85,3.0,ESL105M100AC3(1)
100,125,1.8,5x11,9,105,1.8,3.0,ESL185M100AC3(1)
100,125,2.2,5x11,9,115,1.8,3.0,ESL225M100AC3(1)
100,125,2.7,5x11,9,115,1.8,3.0,ESL275M100AC3(1)
100,125,3.3,5x11,9,125,1.8,3.3,ESL335M100AC3(1)
100,125,3.9,5x11,9,135,1.8,3.9,ESL395M100AC3(1)
100,125,4.7,5x11,9,145,1.8,4.7,ESL475M100AC3(1)
100,125,5.6,6.3x11,9,205,1.25,5.6,ESL565M100AE3(1)
100,125,6.8,6.3x11,9,235,1.25,6.8,ESL685M100AE3(1)
100,125,8.2,6.3x11,9,255,1.05,8.2,ESL825M100AE3(1)
100,125,10.0,6.3x11,9,280,0.68,10.0,ESL106M100AE3(1)
100,125,12.0,8x11.5,9,320,0.39,12.0,ESL126M100AGM(1)
100,125,15.0,8x11.5,9,320,0.65,15.0,ESL156M100AGM(1)
100,125,18.0,8x11.5,9,345,0.6,18.0,ESL186M100AGM(1)
100,125,22.0,8x11.5,9,365,0.52,22.0,ESL226M100AGM(1)
100,125,27.0,10x12.5,9,460,0.56,27.0,ESL276M100AH9(1)
100,125,27.0,8x16,9,455,0.55,27.0,ESL276M100AG8(1)
100,125,33.0,10x12.5,9,475,0.48,33.0,ESL336M100AH9(1)
100,125,33.0,8x16,9,465,0.46,33.0,ESL336M100AG8(1)
100,125,39.0,10x12.5,9,485,0.38,39.0,ESL396M100AH9(1)
100,125,47.0,10x12.5,9,510,0.32,47.0,ESL476M100AH9(1)
100,125,56.0,10x12.5,9,540,0.28,56.0,ESL566M100AH9(1)
100,125,68.0,8x20,9,675,0.28,68.0,ESL686M100AG6(1)
100,125,82.0,10x16,9,785,0.19,82.0,ESL826M100AH8(1)
100,125,100.0,10x20,9,865,0.13,100.0,ESL107M100AH4(1)
100,125,100.0,12.5x15,9,845,0.14,100.0,ESL107M100AK7(1)
100,125,120.0,10x25,9,1050,0.12,120.0,ESL127M100AH5(1)
100,125,150.0,12.5x20,9,1440,0.085,150.0,ESL157M100AK5(1)
100,125,180.0,12.5x25,9,1460,0.066,180.0,ESL187M100AK1(1)
100,125,220.0,12.5x25,9,1630,0.066,220.0,ESL227M100AK1(1)
100,125,270.0,12.5x30,9,1620,0.056,270.0,ESL277M100AK2(1)
100,125,270.0,16x20,9,1650,0.064,270.0,ESL277M100AM5AA
100,125,330.0,12.5x35,9,1950,0.047,330.0,ESL337M100AK3(1)
100,125,330.0,16x25,9,1920,0.048,330.0,ESL337M100AM7AA
100,125,390.0,12.5x40,9,2050,0.04,390.0,ESL397M100AK4(1)
100,125,470.0,16x30,9,2010,0.036,470.0,ESL477M100AM9AA
100,125,560.0,16x35,9,2430,0.032,560.0,ESL567M100AMPAA
100,125,560.0,18x30,9,2480,0.034,560.0,ESL567M100AN8AA
100,125,680.0,16x40,9,2680,0.03,680.0,ESL687M100AM4AA
100,125,680.0,18x35,9,2870,0.03,680.0,ESL687M100ANAAA
100,125,820.0,18x40,9,3250,0.028,820.0,ESL827M100AN3AA
160,200,1.8,6.3x11,15,65,13.94,15.8,ESL185M160AE3(1)
160,200,2.2,6.3x11,15,70,13.94,17.0,ESL225M160AE3(1)
160,200,2.7,6.3x11,15,75,13.94,18.6,ESL275M160AE3(1)
160,200,3.3,6.3x11,15,80,13.94,20.6,ESL335M160AE3(1)
160,200,3.9,6.3x11,15,85,13.94,22.5,ESL395M160AE3(1)
160,200,4.7,8x11.5,15,85,11.3,25.0,ESL475M160AGM(1)
160,200,5.6,8x11.5,15,100,11.3,27.9,ESL565M160AGM(1)
160,200,6.8,8x11.5,15,105,11.3,31.8,ESL685M160AGM(1)
160,200,8.2,8x11.5,15,115,11.3,36.2,ESL825M160AGM(1)
160,200,10.0,8x16,15,135,7.5,42.0,ESL106M160AG8(1)
160,200,12.0,8x16,15,140,7.5,48.4,ESL126M160AG8(1)
160,200,15.0,10x12.5,15,290,4.27,58.0,ESL156M160AH9(1)
160,200,15.0,8x16,15,285,4.27,58.0,ESL156M160AG8(1)
160,200,18.0,8x16,15,310,4.27,67.6,ESL186M160AG8(1)
160,200,22.0,10x16,15,390,2.25,80.4,ESL226M160AH8(1)
160,200,22.0,8x20,15,390,2.25,80.4,ESL226M160AG6(1)
160,200,27.0,10x16,15,410,2.25,96.4,ESL276M160AH8(1)
160,200,33.0,10x20,15,530,1.87,115.6,ESL336M160AH4(1)
160,200,33.0,12.5x15,15,570,1.87,115.6,ESL336M160AK7(1)
160,200,39.0,10x25,15,590,1.87,134.8,ESL396M160AH5(1)
160,200,39.0,12.5x15,15,590,1.87,134.8,ESL396M160AK7(1)
160,200,47.0,10x25,15,610,1.87,160.4,ESL476M160AH5(1)
160,200,47.0,12.5x20,15,630,1.87,160.4,ESL476M160AK5(1)
160,200,56.0,12.5x20,15,740,1.55,189.2,ESL566M160AK5(1)
160,200,56.0,8x50,15,740,1.55,189.2,ESL566M160AGG(1)
160,200,68.0,12.5x20,15,800,1.1,227.6,ESL686M160AK5(1)
160,200,82.0,12.5x25,15,830,1.1,272.4,ESL826M160AK1(1)
160,200,100.0,10x50,15,1210,1.1,330.0,ESL107M160AHE(1)
160,200,100.0,16x20,15,1120,1.1,330.0,ESL107M160AM5AA
160,200,120.0,16x25,15,1240,0.91,394.0,ESL127M160AM7AA
160,200,150.0,12.5x50,15,1280,0.91,490.0,ESL157M160AKB(1)
160,200,150.0,16x30,15,1280,0.91,490.0,ESL157M160AM9AA
160,200,180.0,16x30,15,1360,0.81,586.0,ESL187M160AM9AA
160,200,220.0,18x30,15,1410,0.81,714.0,ESL227M160AN8AA
160,200,270.0,18x35,15,1500,0.67,874.0,ESL277M160ANAAA
160,200,330.0,18x40,15,1590,0.67,1066.0,ESL337M160AN3AA
200,250,2.2,6.3x11,15,75,14.5,18.8,ESL225M200AE3(1)
200,250,2.7,6.3x11,15,80,14.5,20.8,ESL275M200AE3(1)
200,250,3.3,6.3x11,15,95,10.15,23.2,ESL335M200AE3(1)
200,250,3.9,6.3x11,15,105,10.15,25.6,ESL395M200AE3(1)
200,250,4.7,8x11.5,15,130,10.15,28.8,ESL475M200AGM(1)
200,250,5.6,8x11.5,15,135,7.98,32.4,ESL565M200AGM(1)
200,250,6.8,8x11.5,15,145,7.98,37.2,ESL685M200AGM(1)
200,250,8.2,8x11.5,15,165,7.98,42.8,ESL825M200AGM(1)
200,250,10.0,8x12,15,175,3.65,50.0,ESL106M200AG9(1)
200,250,12.0,8x16,15,190,3.65,58.0,ESL126M200AG8(1)
200,250,15.0,8x16,15,360,3.65,70.0,ESL156M200AG8(1)
200,250,18.0,10x16,15,385,3.24,82.0,ESL186M200AH8(1)
200,250,22.0,10x16,15,390,3.24,98.0,ESL226M200AH8(1)
200,250,27.0,10x20,15,410,2.38,118.0,ESL276M200AH4(1)
200,250,33.0,10x25,15,530,1.65,142.0,ESL336M200AH5(1)
200,250,39.0,12.5x20,15,620,1.38,166.0,ESL396M200AK5(1)
200,250,47.0,12.5x20,15,630,1.38,198.0,ESL476M200AK5(1)
200,250,47.0,8x50,15,650,1.38,198.0,ESL476M200AGG(1)
200,250,56.0,10x50,15,670,1.25,234.0,ESL566M200AHE(1)
200,250,56.0,12.5x25,15,670,1.25,234.0,ESL566M200AK1(1)
200,250,68.0,12.5x30,15,850,1.25,282.0,ESL686M200AK2(1)
200,250,82.0,16x25,15,860,1.15,338.0,ESL826M200AM7AA
200,250,100.0,16x25,15,930,1.15,410.0,ESL107M200AM7AA
200,250,120.0,16x30,15,1090,1.03,490.0,ESL127M200AM9AA
200,250,150.0,16x35,15,1125,1.03,610.0,ESL157M200AMPAA
200,250,180.0,18x30,15,1340,0.8,730.0,ESL187M200AN8AA
200,250,220.0,18x35,15,1420,0.74,890.0,ESL227M200ANAAA
250,300,2.2,6.3x11,15,80,10.15,21.0,ESL225M250AE3(1)
250,300,2.7,6.3x11,15,90,10.15,23.5,ESL275M250AE3(1)
250,300,3.3,6.3x11,15,100,10.15,26.5,ESL335M250AE3(1)
250,300,3.9,8x11.5,15,110,10.15,29.5,ESL395M250AGM(1)
250,300,4.7,8x11.5,15,135,10.15,33.5,ESL475M250AGM(1)
250,300,5.6,8x11.5,15,150,9.0,38.0,ESL565M250AGM(1)
250,300,6.8,8x11.5,15,160,6.7,44.0,ESL685M250AGM(1)
250,300,8.2,8x12,15,170,3.65,51.0,ESL825M250AG9(1)
250,300,10.0,10x12.5,15,250,3.65,60.0,ESL106M250AH9(1)
250,300,10.0,8x16,15,250,3.65,60.0,ESL106M250AG8(1)
250,300,15.0,10x16,15,390,3.24,85.0,ESL156M250AH8(1)
250,300,15.0,8x20,15,380,3.24,85.0,ESL156M250AG6(1)
250,300,18.0,10x16,15,410,3.24,100.0,ESL186M250AH8(1)
250,300,22.0,10x20,15,475,3.24,120.0,ESL226M250AH4(1)
250,300,33.0,12.5x20,15,570,1.38,175.0,ESL336M250AK5(1)
250,300,33.0,8x50,15,570,1.38,175.0,ESL336M250AGG(1)
250,300,47.0,12.5x25,15,650,1.38,245.0,ESL476M250AK1(1)
250,300,56.0,12.5x30,15,750,1.25,290.0,ESL566M250AK2(1)
250,300,68.0,10x50,15,870,1.25,350.0,ESL686M250AHE(1)
250,300,68.0,12.5x30,15,870,1.25,350.0,ESL686M250AK2(1)
250,300,82.0,16x30,15,910,1.15,420.0,ESL826M250AM9AA
250,300,100.0,12.5x50,15,960,1.18,510.0,ESL107M250AKB(1)
250,300,100.0,16x30,15,960,1.18,510.0,ESL107M250AM9AA
250,300,120.0,18x30,15,1210,1.02,610.0,ESL127M250AN8AA
250,300,150.0,18x30,15,1400,0.98,760.0,ESL157M250AN8AA
250,300,180.0,18x35,15,1540,0.74,910.0,ESL187M250ANAAA
250,300,220.0,18x40,15,1620,0.61,1110.0,ESL227M250AN3AA
350,400,1.0,6.3x11,20,55,21.5,17.0,ESL105M350AE3(1)
350,400,1.2,6.3x11,20,55,21.5,18.4,ESL125M350AE3(1)
350,400,1.5,6.3x11,20,60,21.5,20.5,ESL155M350AE3(1)
350,400,1.8,6.3x11,20,65,21.5,22.6,ESL185M350AE3(1)
350,400,2.2,6.3x11,20,70,21.5,25.4,ESL225M350AE3(1)
350,400,2.7,8x11.5,20,85,15.71,28.9,ESL275M350AGM(1)
350,400,3.3,8x11.5,20,95,15.72,33.1,ESL335M350AGM(1)
350,400,3.9,8x11.5,20,100,15.72,37.3,ESL395M350AGM(1)
350,400,4.7,8x11.5,20,130,15.72,42.9,ESL475M350AGM(1)
350,400,5.6,10x12.5,20,155,10.51,49.2,ESL565M350AH9(1)
350,400,5.6,8x16,20,155,10.51,49.2,ESL565M350AG8(1)
350,400,6.8,10x12.5,20,170,10.51,57.6,ESL685M350AH9(1)
350,400,8.2,10x16,20,240,7.5,67.4,ESL825M350AH8(1)
350,400,8.2,8x20,20,240,7.5,67.4,ESL825M350AG6(1)
350,400,10.0,10x16,20,250,7.5,80.0,ESL106M350AH8(1)
350,400,15.0,10x25,20,340,6.2,115.0,ESL156M350AH5(1)
350,400,15.0,12.5x15,20,340,6.2,115.0,ESL156M350AK7(1)
350,400,18.0,10x25,20,430,6.2,136.0,ESL186M350AH5(1)
350,400,18.0,12.5x20,20,430,3.1,136.0,ESL186M350AK5(1)
350,400,22.0,12.5x20,20,475,3.1,164.0,ESL226M350AK5(1)
350,400,22.0,8x50,20,475,3.1,164.0,ESL226M350AGG(1)
350,400,33.0,10x50,20,570,2.25,241.0,ESL336M350AHE(1)
350,400,33.0,12.5x25,20,570,2.25,241.0,ESL336M350AK1(1)
350,400,47.0,16x25,20,800,2.25,339.0,ESL476M350AM7AA
350,400,56.0,16x30,20,840,2.02,402.0,ESL566M350AM9AA
