Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms) 105°C@100kHz,Impedance (Ω) 20°C@100kHz,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
10.0,100.0,10.0,12.5,615,0.162,3000.0,0.6,5.0,5.0,-,EEUFC1A101( ),200.0,500
10.0,120.0,8.0,15.0,635,0.155,2000.0,0.6,3.5,5.0,-,EEUFC1A121L( ),200.0,1000
10.0,150.0,10.0,16.0,850,0.119,3000.0,0.6,5.0,5.0,-,EEUFC1A151( ),200.0,500
10.0,180.0,8.0,20.0,860,0.12,2000.0,0.6,3.5,5.0,-,EEUFC1A181L( ),200.0,1000
10.0,220.0,10.0,20.0,1030,0.09,3000.0,0.6,5.0,5.0,-,EEUFC1A221( ),200.0,500
10.0,270.0,10.0,25.0,1200,0.082,3000.0,0.6,5.0,5.0,-,EEUFC1A271( ),200.0,500
10.0,330.0,12.5,20.0,1480,0.063,5000.0,0.6,5.0,5.0,-,EEUFC1A331( ),200.0,500
10.0,390.0,12.5,25.0,1720,0.07,5000.0,0.6,5.0,5.0,-,EEUFC1A391( ),200.0,500
10.0,470.0,12.5,30.0,2090,0.055,5000.0,0.8,5.0,-,-,EEUFC1A471L,100.0,-
10.0,560.0,16.0,20.0,1765,0.059,5000.0,0.8,7.5,7.5,-,EEUFC1A561( ),100.0,250
10.0,680.0,12.5,35.0,2265,0.047,5000.0,0.8,5.0,-,-,EEUFC1A681L,100.0,-
10.0,820.0,16.0,25.0,2160,0.05,5000.0,0.8,7.5,7.5,-,EEUFC1A821( ),100.0,250
10.0,1000.0,16.0,31.5,2670,0.043,5000.0,0.8,7.5,-,-,EEUFC1A102U,100.0,-
10.0,1200.0,16.0,40.0,2825,0.03,5000.0,0.8,7.5,-,-,EEUFC1A122L,100.0,-
10.0,1500.0,18.0,35.5,3095,0.03,5000.0,0.8,7.5,-,-,EEUFC1A152,50.0,-
10.0,1800.0,18.0,40.0,3205,0.025,5000.0,0.8,7.5,-,-,EEUFC1A182,50.0,-
16.0,2.2,5.0,11.0,45,1.8,1000.0,0.5,2.0,5.0,2.5,EEUFC1C2R2( ),200.0,2000
16.0,3.3,5.0,11.0,65,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1C3R3( ),200.0,2000
16.0,4.7,5.0,11.0,95,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1C4R7( ),200.0,2000
16.0,10.0,5.0,11.0,125,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1C100L( ),200.0,2000
16.0,12.0,5.0,11.0,135,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1C120( ),200.0,2000
16.0,15.0,5.0,11.0,145,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1C150( ),200.0,2000
16.0,18.0,5.0,11.0,155,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1C180( ),200.0,2000
16.0,22.0,5.0,11.0,155,1.3,1000.0,0.5,2.0,5.0,2.5,EEUFC1C220( ),200.0,2000
16.0,33.0,6.3,11.2,260,0.6,1000.0,0.5,2.5,5.0,2.5,EEUFC1C330( ),200.0,2000
16.0,39.0,6.3,11.2,260,0.6,1000.0,0.5,2.5,5.0,2.5,EEUFC1C390( ),200.0,2000
16.0,47.0,6.3,11.2,260,0.6,1000.0,0.5,2.5,5.0,2.5,EEUFC1C470( ),200.0,2000
16.0,68.0,8.0,11.5,485,0.234,2000.0,0.6,3.5,5.0,-,EEUFC1C680( ),200.0,1000
16.0,82.0,8.0,11.5,485,0.234,2000.0,0.6,3.5,5.0,-,EEUFC1C820( ),200.0,1000
16.0,100.0,10.0,12.5,615,0.162,3000.0,0.6,5.0,5.0,-,EEUFC1C101( ),200.0,500
16.0,120.0,8.0,15.0,635,0.155,2000.0,0.6,3.5,5.0,-,EEUFC1C121L( ),200.0,1000
16.0,150.0,10.0,16.0,850,0.119,3000.0,0.6,5.0,5.0,-,EEUFC1C151( ),200.0,500
16.0,180.0,8.0,20.0,860,0.12,2000.0,0.6,3.5,5.0,-,EEUFC1C181L( ),200.0,1000
16.0,220.0,10.0,20.0,1030,0.09,3000.0,0.6,5.0,5.0,-,EEUFC1C221( ),200.0,500
16.0,270.0,10.0,25.0,1200,0.082,3000.0,0.6,5.0,5.0,-,EEUFC1C271( ),200.0,500
16.0,330.0,12.5,20.0,1480,0.063,5000.0,0.6,5.0,5.0,-,EEUFC1C331( ),200.0,500
16.0,390.0,12.5,25.0,1720,0.07,5000.0,0.6,5.0,5.0,-,EEUFC1C391( ),200.0,500
16.0,470.0,12.5,30.0,2090,0.055,5000.0,0.8,5.0,-,-,EEUFC1C471L,100.0,-
16.0,560.0,16.0,20.0,1765,0.059,5000.0,0.8,7.5,7.5,-,EEUFC1C561( ),100.0,250
16.0,680.0,12.5,35.0,2265,0.047,5000.0,0.8,5.0,-,-,EEUFC1C681L,100.0,-
16.0,820.0,16.0,25.0,2160,0.05,5000.0,0.8,7.5,7.5,-,EEUFC1C821( ),100.0,250
16.0,1000.0,16.0,31.5,2670,0.043,5000.0,0.8,7.5,-,-,EEUFC1C102U,100.0,-
16.0,1200.0,16.0,40.0,2825,0.03,5000.0,0.8,7.5,-,-,EEUFC1C122L,100.0,-
16.0,1500.0,18.0,35.5,3095,0.03,5000.0,0.8,7.5,-,-,EEUFC1C152,50.0,-
16.0,1800.0,18.0,40.0,3205,0.025,5000.0,0.8,7.5,-,-,EEUFC1C182,50.0,-
25.0,5.6,5.0,11.0,80,4.1,1000.0,0.5,2.0,5.0,2.5,EEUFC1V5R6( ),200.0,2000
25.0,12.0,6.3,11.2,114,1.8,1000.0,0.5,2.5,5.0,2.5,EEUFC1V120( ),200.0,2000
25.0,22.0,8.0,11.5,260,0.68,2000.0,0.6,3.5,5.0,-,EEUFC1V220( ),200.0,1000
25.0,33.0,8.0,15.0,340,0.45,2000.0,0.6,3.5,5.0,-,EEUFC1V330L( ),200.0,1000
25.0,39.0,10.0,12.5,306,0.53,3000.0,0.6,5.0,5.0,-,EEUFC1V330( ),200.0,500
25.0,47.0,10.0,20.0,463,0.24,3000.0,0.6,5.0,5.0,-,EEUFC1V470( ),200.0,500
25.0,56.0,10.0,20.0,463,0.24,3000.0,0.6,5.0,5.0,-,EEUFC1V560( ),200.0,500
25.0,68.0,10.0,25.0,599,0.21,3000.0,0.6,5.0,5.0,-,EEUFC1V680L( ),200.0,500
25.0,100.0,12.5,15.0,511,0.23,5000.0,0.6,5.0,5.0,-,EEUFC1V680( ),200.0,500
25.0,120.0,16.0,15.0,793,0.14,5000.0,0.8,7.5,7.5,-,EEUFC1V121S( ),100.0,250
25.0,150.0,12.5,25.0,807,0.11,5000.0,0.6,5.0,5.0,-,EEUFC1V151( ),200.0,500
25.0,180.0,18.0,15.0,917,0.12,5000.0,0.8,7.5,7.5,-,EEUFC1V151S( ),100.0,250
25.0,220.0,12.5,35.0,1040,0.087,5000.0,0.8,5.0,-,-,EEUFC1V221L,100.0,-
25.0,270.0,16.0,25.0,1170,0.089,5000.0,0.8,7.5,7.5,-,EEUFC1V221( ),100.0,250
25.0,330.0,16.0,31.5,1520,0.062,5000.0,0.8,7.5,-,-,EEUFC1V331,100.0,-
25.0,390.0,18.0,31.5,1600,0.062,5000.0,0.8,7.5,-,-,EEUFC1V391,50.0,-
25.0,470.0,16.0,40.0,1920,0.047,5000.0,0.8,7.5,-,-,EEUFC1V471,100.0,-
25.0,560.0,18.0,35.5,1770,0.041,5000.0,0.8,7.5,-,-,EEUFC1V561,50.0,-
25.0,680.0,18.0,40.0,2300,0.036,5000.0,0.8,7.5,-,-,EEUFC1V681,50.0,-
35.0,6.8,4.0,7.0,65,2.0,1000.0,0.45,1.5,5.0,2.5,EEAFC1V6R8( ),200.0,2000
35.0,12.0,5.0,7.0,120,0.95,1000.0,0.45,2.0,5.0,2.5,EEAFC1V120( ),200.0,2000
35.0,22.0,5.0,11.0,175,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC1V220( ),200.0,2000
35.0,27.0,5.0,11.0,175,0.8,1000.0,0.5,2.0,5.0,2.5,EEUFC1V270( ),200.0,2000
35.0,33.0,6.3,7.0,200,0.45,1000.0,0.45,2.5,5.0,2.5,EEAFC1V270( ),200.0,2000
35.0,47.0,6.3,11.2,290,0.35,1000.0,0.5,2.5,5.0,2.5,EEUFC1V470( ),200.0,2000
35.0,56.0,6.3,11.2,290,0.35,1000.0,0.5,2.5,5.0,2.5,EEUFC1V560( ),200.0,2000
35.0,68.0,6.3,11.2,290,0.35,1000.0,0.5,2.5,5.0,2.5,EEUFC1V680( ),200.0,2000
35.0,100.0,8.0,11.5,555,0.117,2000.0,0.6,3.5,5.0,-,EEUFC1V101( ),200.0,1000
35.0,120.0,8.0,11.5,555,0.117,2000.0,0.6,3.5,5.0,-,EEUFC1V121( ),200.0,1000
35.0,150.0,8.0,11.5,555,0.117,2000.0,0.6,3.5,5.0,-,EEUFC1V151( ),200.0,1000
35.0,180.0,10.0,12.5,755,0.09,3000.0,0.6,5.0,5.0,-,EEUFC1V181( ),200.0,500
35.0,220.0,8.0,15.0,730,0.085,2000.0,0.6,3.5,5.0,-,EEUFC1V221L( ),200.0,1000
35.0,270.0,10.0,16.0,1050,0.068,3000.0,0.6,5.0,5.0,-,EEUFC1V271( ),200.0,500
35.0,330.0,8.0,20.0,995,0.065,2000.0,0.6,3.5,5.0,-,EEUFC1V331L( ),200.0,1000
35.0,390.0,10.0,20.0,1220,0.052,3000.0,0.6,5.0,5.0,-,EEUFC1V391( ),200.0,500
35.0,470.0,12.5,15.0,1205,0.065,5000.0,0.6,5.0,5.0,-,EEUFC1V471( ),200.0,500
35.0,560.0,10.0,25.0,1440,0.045,3000.0,0.6,5.0,5.0,-,EEUFC1V561( ),200.0,500
35.0,680.0,12.5,20.0,1655,0.038,5000.0,0.6,5.0,5.0,-,EEUFC1V681( ),200.0,500
35.0,820.0,16.0,15.0,1690,0.043,5000.0,0.8,7.5,7.5,-,EEUFC1V821S( ),100.0,250
35.0,1000.0,12.5,25.0,1945,0.03,5000.0,0.6,5.0,5.0,-,EEUFC1V102( ),200.0,500
35.0,1200.0,16.0,20.0,2205,0.029,5000.0,0.8,7.5,7.5,-,EEUFC1V122S( ),100.0,250
35.0,1500.0,12.5,35.0,2510,0.022,5000.0,0.8,5.0,-,-,EEUFC1V152L,100.0,-
35.0,1800.0,16.0,25.0,2555,0.022,5000.0,0.8,7.5,7.5,-,EEUFC1V182( ),100.0,250
35.0,2200.0,18.0,25.0,2740,0.02,5000.0,0.8,7.5,7.5,-,EEUFC1V222S( ),100.0,250
35.0,2700.0,16.0,35.5,3150,0.016,5000.0,0.8,7.5,-,-,EEUFC1V272L,100.0,-
35.0,3300.0,18.0,35.5,3680,0.015,5000.0,0.8,7.5,-,-,EEUFC1V332,50.0,-
35.0,3900.0,18.0,40.0,3735,0.014,5000.0,0.8,7.5,-,-,EEUFC1V392,50.0,-
50.0,5.6,5.0,11.0,80,4.1,1000.0,0.5,2.0,5.0,2.5,EEUFC2A5R6( ),200.0,2000
50.0,12.0,6.3,11.2,114,1.8,1000.0,0.5,2.5,5.0,2.5,EEUFC2A120( ),200.0,2000
50.0,22.0,8.0,11.5,260,0.68,2000.0,0.6,3.5,5.0,-,EEUFC2A220( ),200.0,1000
50.0,33.0,8.0,15.0,340,0.45,2000.0,0.6,3.5,5.0,-,EEUFC2A330L( ),200.0,1000
50.0,39.0,10.0,12.5,306,0.53,3000.0,0.6,5.0,5.0,-,EEUFC2A330( ),200.0,500
50.0,47.0,10.0,20.0,463,0.24,3000.0,0.6,5.0,5.0,-,EEUFC2A470( ),200.0,500
50.0,56.0,10.0,20.0,463,0.24,3000.0,0.6,5.0,5.0,-,EEUFC2A560( ),200.0,500
50.0,68.0,10.0,25.0,599,0.21,3000.0,0.6,5.0,5.0,-,EEUFC2A680L( ),200.0,500
50.0,100.0,12.5,15.0,511,0.23,5000.0,0.6,5.0,5.0,-,EEUFC2A680( ),200.0,500
50.0,120.0,16.0,15.0,793,0.14,5000.0,0.8,7.5,7.5,-,EEUFC2A121S( ),100.0,250
50.0,150.0,12.5,25.0,807,0.11,5000.0,0.6,5.0,5.0,-,EEUFC2A151( ),200.0,500
50.0,180.0,18.0,15.0,917,0.12,5000.0,0.8,7.5,7.5,-,EEUFC2A151S( ),100.0,250
50.0,220.0,12.5,35.0,1040,0.087,5000.0,0.8,5.0,-,-,EEUFC2A221L,100.0,-
50.0,270.0,16.0,25.0,1170,0.089,5000.0,0.8,7.5,7.5,-,EEUFC2A221( ),100.0,250
50.0,330.0,16.0,31.5,1520,0.062,5000.0,0.8,7.5,-,-,EEUFC2A331,100.0,-
50.0,390.0,18.0,31.5,1600,0.062,5000.0,0.8,7.5,-,-,EEUFC2A391,50.0,-
50.0,470.0,16.0,40.0,1920,0.047,5000.0,0.8,7.5,-,-,EEUFC2A471,100.0,-
50.0,560.0,18.0,35.5,1770,0.041,5000.0,0.8,7.5,-,-,EEUFC2A561,50.0,-
50.0,680.0,18.0,40.0,2300,0.036,5000.0,0.8,7.5,-,-,EEUFC2A681,50.0,-
63.0,5.6,5.0,11.0,80,4.1,1000.0,0.5,2.0,5.0,2.5,EEUFC2A5R6( ),200.0,2000
63.0,12.0,6.3,11.2,114,1.8,1000.0,0.5,2.5,5.0,2.5,EEUFC2A120( ),200.0,2000
63.0,22.0,8.0,11.5,260,0.68,2000.0,0.6,3.5,5.0,-,EEUFC2A220( ),200.0,1000
63.0,33.0,8.0,15.0,340,0.45,2000.0,0.6,3.5,5.0,-,EEUFC2A330L( ),200.0,1000
63.0,39.0,10.0,12.5,306,0.53,3000.0,0.6,5.0,5.0,-,EEUFC2A330( ),200.0,500
63.0,47.0,10.0,20.0,463,0.24,3000.0,0.6,5.0,5.0,-,EEUFC2A470( ),200.0,500
63.0,56.0,10.0,20.0,463,0.24,3000.0,0.6,5.0,5.0,-,EEUFC2A560( ),200.0,500
63.0,68.0,10.0,25.0,599,0.21,3000.0,0.6,5.0,5.0,-,EEUFC2A680L( ),200.0,500
63.0,82.0,12.5,15.0,511,0.23,5000.0,0.6,5.0,5.0,-,EEUFC2A680( ),200.0,500
63.0,100.0,16.0,15.0,793,0.14,5000.0,0.8,7.5,7.5,-,EEUFC2A101S( ),100.0,250
63.0,120.0,12.5,25.0,807,0.11,5000.0,0.6,5.0,5.0,-,EEUFC2A121( ),200.0,500
63.0,150.0,18.0,15.0,917,0.12,5000.0,0.8,7.5,7.5,-,EEUFC2A151S( ),100.0,250
63.0,180.0,12.5,35.0,1040,0.087,5000.0,0.8,5.0,-,-,EEUFC2A181L,100.0,-
63.0,220.0,16.0,25.0,1170,0.089,5000.0,0.8,7.5,7.5,-,EEUFC2A221( ),100.0,250
63.0,270.0,16.0,31.5,1520,0.062,5000.0,0.8,7.5,-,-,EEUFC2A271,100.0,-
63.0,330.0,18.0,31.5,1600,0.062,5000.0,0.8,7.5,-,-,EEUFC2A331,50.0,-
63.0,390.0,16.0,40.0,1920,0.047,5000.0,0.8,7.5,-,-,EEUFC2A391,100.0,-
63.0,470.0,18.0,35.5,1770,0.041,5000.0,0.8,7.5,-,-,EEUFC2A471,50.0,-
100,2.2,5.0,11.0,45,1.800,1000.0,0.5,2.0,5.0,2.5,EEUFC1H2R2( ),200.0,2000
100,3.3,5.0,11.0,65,1.300,1000.0,0.5,2.0,5.0,2.5,EEUFC1H3R3( ),200.0,2000
100,4.7,5.0,11.0,95,1.300,1000.0,0.5,2.0,5.0,2.5,EEUFC1H4R7( ),200.0,2000
100,10,5.0,11.0,125,1.300,1000.0,0.5,2.0,5.0,2.5,EEUFC1H100L( ),200.0,2000
100,12,5.0,11.0,135,1.300,1000.0,0.5,2.0,5.0,2.5,EEUFC1H120( ),200.0,2000
100,15,5.0,11.0,145,1.300,1000.0,0.5,2.0,5.0,2.5,EEUFC1H150( ),200.0,2000
100,18,5.0,11.0,155,1.300,1000.0,0.5,2.0,5.0,2.5,EEUFC1H180( ),200.0,2000
100,22,5.0,11.0,155,1.300,1000.0,0.5,2.0,5.0,2.5,EEUFC1H220( ),200.0,2000
100,33,6.3,11.2,260,0.600,1000.0,0.5,2.5,5.0,2.5,EEUFC1H330( ),200.0,2000
100,39,6.3,11.2,260,0.600,1000.0,0.5,2.5,5.0,2.5,EEUFC1H390( ),200.0,2000
100,47,6.3,11.2,260,0.600,1000.0,0.5,2.5,5.0,2.5,EEUFC1H470( ),200.0,2000
100,68,8.0,11.5,485,0.234,2000.0,0.6,3.5,5.0,-,EEUFC1H680( ),200.0,1000
100,82,8.0,11.5,485,0.234,2000.0,0.6,3.5,5.0,-,EEUFC1H820( ),200.0,1000
100,100,10.0,12.5,615,0.162,3000.0,0.6,5.0,5.0,-,EEUFC1H101( ),200.0,500
100,120,8.0,15.0,635,0.155,2000.0,0.6,3.5,5.0,-,EEUFC1H121L( ),200.0,1000
100,150,10.0,16.0,850,0.119,3000.0,0.6,5.0,5.0,-,EEUFC1H151( ),200.0,500
100,180,8.0,20.0,860,0.120,2000.0,0.6,3.5,5.0,-,EEUFC1H181L( ),200.0,1000
100,220,10.0,20.0,1030,0.090,3000.0,0.6,5.0,5.0,-,EEUFC1H221( ),200.0,500
100,270,10.0,25.0,1200,0.082,3000.0,0.6,5.0,5.0,-,EEUFC1H271( ),200.0,500
100,330,12.5,20.0,1480,0.063,5000.0,0.6,5.0,5.0,-,EEUFC1H331( ),200.0,500
100,390,12.5,25.0,1720,0.070,5000.0,0.6,5.0,5.0,-,EEUFC1H391( ),200.0,500
100,470,12.5,30.0,2090,0.055,5000.0,0.8,5.0,-,-,EEUFC1H471L,100.0,-
100,560,16.0,20.0,1765,0.059,5000.0,0.8,7.5,7.5,-,EEUFC1H561( ),100.0,250
100,680,12.5,35.0,2265,0.047,5000.0,0.8,5.0,-,-,EEUFC1H681L,100.0,-
100,820,16.0,25.0,2160,0.050,5000.0,0.8,7.5,7.5,-,EEUFC1H821( ),100.0,250
100,1000,16.0,31.5,2670,0.043,5000.0,0.8,7.5,-,-,EEUFC1H102U,100.0,-
100,1200,16.0,40.0,2825,0.030,5000.0,0.8,7.5,-,-,EEUFC1H122L,100.0,-
100,1500,18.0,35.5,3095,0.030,5000.0,0.8,7.5,-,-,EEUFC1H152,50.0,-
100,1800,18.0,40.0,3205,0.025,5000.0,0.8,7.5,-,-,EEUFC1H182,50.0,-
100,2200,18.0,35.5,3100,0.023,5000.0,0.8,7.5,-,-,EEUFC1H222,50.0,-
